CookerStat, GenerateAssetRegistry=0.023950, Initialize=0.138089, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=3.775015, FlushAsyncLoading=0.012130, FlushStreamingFunc=0.053182, BlockTillAllRequestsFinished=0.006840, ResetLoadersForSaveUnMarkAllObjects=0.141509, TagPackageExports=1.690328, BeginCacheForCookedPlatformData=0.005286, SerializeImports=2.761438, GatherLocalizableTextData=1.485687, MarkNames=0.030477, SerializeSummary=0.018038, SerializeNames=0.115696, SerializeGatherableTextData=0.103876, BuildExportMap=0.088014, SortExportsNonSeekfree=0.159550, SortExportsSeekfreeConstructor=0.072151, SortExportsSeekfreeInner=5.450103, SortExportsSeekfree=0.007775, BuildDependencyMap=0.029854, SerializeImportMap=0.013687, SerializeExportMap=0.014614, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.353307, SerializeExports=2.238322, SerializeBulkData=0.021771, MoveFile=3.315657, UnaccountedTime=2.124492, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=1.683172, FlushAsyncLoading=0.005912, FlushStreamingFunc=0.091434, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.127826, TagPackageExports=1.390208, BeginCacheForCookedPlatformData=0.002798, SerializeImports=2.447322, GatherLocalizableTextData=1.876932, MarkNames=0.024881, SerializeSummary=0.013996, SerializeNames=0.106674, SerializeGatherableTextData=0.099521, BuildExportMap=0.081487, SortExportsNonSeekfree=0.212107, SortExportsSeekfreeConstructor=0.067178, SortExportsSeekfreeInner=5.578235, SortExportsSeekfree=0.006530, BuildDependencyMap=0.025816, SerializeImportMap=0.010263, SerializeExportMap=0.013683, SerializeDependencyMap=0.004351, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.343043, SerializeExports=2.183273, SerializeBulkData=0.004668, MoveFile=4.332960, UnaccountedTime=1.661718, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=3.585607, FlushAsyncLoading=0.007775, FlushStreamingFunc=0.051320, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.110719, TagPackageExports=1.559079, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.900768, GatherLocalizableTextData=2.957374, MarkNames=0.033900, SerializeSummary=0.015862, SerializeNames=0.125960, SerializeGatherableTextData=0.107609, BuildExportMap=0.087082, SortExportsNonSeekfree=0.189714, SortExportsSeekfreeConstructor=0.065934, SortExportsSeekfreeInner=5.437661, SortExportsSeekfree=0.004042, BuildDependencyMap=0.024881, SerializeImportMap=0.016175, SerializeExportMap=0.016481, SerializeDependencyMap=0.002798, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.373833, SerializeExports=2.550576, SerializeBulkData=0.008084, MoveFile=2.392583, UnaccountedTime=1.852054, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/BattlePlayerController_BP_Auto1.uasset, AutoPackageBackupDelegate=2.234902, FlushAsyncLoading=0.003111, FlushStreamingFunc=0.105433, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=0.106677, TagPackageExports=1.527358, BeginCacheForCookedPlatformData=0.001866, SerializeImports=2.724741, GatherLocalizableTextData=2.850074, MarkNames=0.030167, SerializeSummary=0.014309, SerializeNames=0.121914, SerializeGatherableTextData=0.167944, BuildExportMap=0.093926, SortExportsNonSeekfree=0.236675, SortExportsSeekfreeConstructor=0.065625, SortExportsSeekfreeInner=5.714767, SortExportsSeekfree=0.004668, BuildDependencyMap=0.024877, SerializeImportMap=0.010885, SerializeExportMap=0.015859, SerializeDependencyMap=0.002798, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.358280, SerializeExports=2.721321, SerializeBulkData=0.006530, MoveFile=21.901175, UnaccountedTime=0.179451, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=3.850590, FlushAsyncLoading=0.007153, FlushStreamingFunc=0.094548, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=1.820639, TagPackageExports=0.358902, BeginCacheForCookedPlatformData=0.002488, SerializeImports=1.448054, GatherLocalizableTextData=4.035327, MarkNames=0.026435, SerializeSummary=0.018351, SerializeNames=0.264354, SerializeGatherableTextData=0.009332, BuildExportMap=0.125024, SortExportsNonSeekfree=0.082105, SortExportsSeekfreeConstructor=0.057850, SortExportsSeekfreeInner=8.415871, SortExportsSeekfree=0.003733, BuildDependencyMap=0.036389, SerializeImportMap=0.026435, SerializeExportMap=0.014618, SerializeDependencyMap=0.004351, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.527781, SerializeExports=1.555350, SerializeBulkData=33.125759, MoveFile=2.529428, UnaccountedTime=0.160791, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=0.115383, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.060957, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.099830, TagPackageExports=0.545196, BeginCacheForCookedPlatformData=0.002179, SerializeImports=1.379009, GatherLocalizableTextData=0.657782, MarkNames=0.011817, SerializeSummary=0.010576, SerializeNames=0.060022, SerializeGatherableTextData=0.003733, BuildExportMap=0.040431, SortExportsNonSeekfree=0.042919, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=1.586765, SortExportsSeekfree=0.003420, BuildDependencyMap=0.012752, SerializeImportMap=0.007775, SerializeExportMap=0.008710, SerializeDependencyMap=0.001553, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.254717, SerializeExports=0.845008, SerializeBulkData=0.004042, MoveFile=3.291085, UnaccountedTime=1.432814, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=3.645010, FlushAsyncLoading=0.007153, FlushStreamingFunc=0.054739, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.106674, TagPackageExports=0.770368, BeginCacheForCookedPlatformData=0.002798, SerializeImports=1.635589, GatherLocalizableTextData=6.709684, MarkNames=0.030480, SerializeSummary=0.015240, SerializeNames=0.097033, SerializeGatherableTextData=0.108544, BuildExportMap=0.064068, SortExportsNonSeekfree=0.126891, SortExportsSeekfreeConstructor=0.064068, SortExportsSeekfreeInner=2.447631, SortExportsSeekfree=0.003733, BuildDependencyMap=0.026122, SerializeImportMap=0.008088, SerializeExportMap=0.014305, SerializeDependencyMap=0.004042, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.285506, SerializeExports=1.818154, SerializeBulkData=0.004973, MoveFile=3.493242, UnaccountedTime=1.472931, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/BattleMainWidget_BP_Auto2.uasset, AutoPackageBackupDelegate=1.813486, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.087395, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.101078, TagPackageExports=0.727136, BeginCacheForCookedPlatformData=0.002179, SerializeImports=1.621284, GatherLocalizableTextData=5.787544, MarkNames=0.026125, SerializeSummary=0.013683, SerializeNames=0.088640, SerializeGatherableTextData=0.112895, BuildExportMap=0.066865, SortExportsNonSeekfree=0.135601, SortExportsSeekfreeConstructor=0.060648, SortExportsSeekfreeInner=2.528492, SortExportsSeekfree=0.003733, BuildDependencyMap=0.025813, SerializeImportMap=0.008397, SerializeExportMap=0.014305, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.293590, SerializeExports=1.881599, SerializeBulkData=0.004355, MoveFile=18.855162, UnaccountedTime=0.157680, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=3.933005, FlushAsyncLoading=0.007775, FlushStreamingFunc=0.060648, BlockTillAllRequestsFinished=0.004351, ResetLoadersForSaveUnMarkAllObjects=0.112277, TagPackageExports=0.903167, BeginCacheForCookedPlatformData=0.003111, SerializeImports=2.015330, GatherLocalizableTextData=7.270120, MarkNames=0.035454, SerializeSummary=0.014305, SerializeNames=0.093926, SerializeGatherableTextData=0.102945, BuildExportMap=0.072151, SortExportsNonSeekfree=0.204023, SortExportsSeekfreeConstructor=0.062201, SortExportsSeekfreeInner=2.737492, SortExportsSeekfree=0.004351, BuildDependencyMap=0.035457, SerializeImportMap=0.008088, SerializeExportMap=0.021458, SerializeDependencyMap=0.010576, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.387516, SerializeExports=2.018128, SerializeBulkData=0.004355, MoveFile=16.136955, UnaccountedTime=1.512740, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=1.840856, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.124715, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.093926, TagPackageExports=0.788406, BeginCacheForCookedPlatformData=0.002176, SerializeImports=1.747556, GatherLocalizableTextData=7.053655, MarkNames=0.037633, SerializeSummary=0.015240, SerializeNames=0.095788, SerializeGatherableTextData=0.107300, BuildExportMap=0.075884, SortExportsNonSeekfree=0.229213, SortExportsSeekfreeConstructor=0.009954, SortExportsSeekfreeInner=2.756774, SortExportsSeekfree=0.003420, BuildDependencyMap=0.034522, SerializeImportMap=0.008710, SerializeExportMap=0.022393, SerializeDependencyMap=0.010576, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.369478, SerializeExports=2.083443, SerializeBulkData=0.004973, MoveFile=2.270669, UnaccountedTime=0.161100, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=2.456650, FlushAsyncLoading=0.004668, FlushStreamingFunc=0.098277, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.097968, TagPackageExports=0.851851, BeginCacheForCookedPlatformData=0.002488, SerializeImports=1.829349, GatherLocalizableTextData=34.907207, MarkNames=0.037011, SerializeSummary=0.016171, SerializeNames=0.098903, SerializeGatherableTextData=0.147417, BuildExportMap=0.077128, SortExportsNonSeekfree=0.221752, SortExportsSeekfreeConstructor=0.009641, SortExportsSeekfreeInner=2.811197, SortExportsSeekfree=0.003424, BuildDependencyMap=0.036389, SerializeImportMap=0.008710, SerializeExportMap=0.021458, SerializeDependencyMap=0.008397, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.399645, SerializeExports=2.083752, SerializeBulkData=0.004351, MoveFile=2.443589, UnaccountedTime=1.597337, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
SavePackageTransactionId660BD886460A2D7A34AF46974AEB33C7_11, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleMainWidget_BP.uasset, AutoPackageBackupDelegate=1.873512, FlushAsyncLoading=0.003420, FlushStreamingFunc=0.093926, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.101391, TagPackageExports=0.820126, BeginCacheForCookedPlatformData=0.002179, SerializeImports=1.777407, GatherLocalizableTextData=7.738188, MarkNames=0.036698, SerializeSummary=0.014309, SerializeNames=0.097968, SerializeGatherableTextData=0.106674, BuildExportMap=0.074644, SortExportsNonSeekfree=0.245694, SortExportsSeekfreeConstructor=0.062514, SortExportsSeekfreeInner=2.818353, SortExportsSeekfree=0.004042, BuildDependencyMap=0.036698, SerializeImportMap=0.009019, SerializeExportMap=0.021771, SerializeDependencyMap=0.011194, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.393424, SerializeExports=2.260093, SerializeBulkData=0.004355, MoveFile=3.327783, UnaccountedTime=0.166081, RunGuid=RunID7FF3AF614FCD6FF11C11FFBBB042E195
