CookerStat, GenerateAssetRegistry=0.053495, Initialize=74.240364, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/CombatHUD.uasset, AutoPackageBackupDelegate=102.402443, FlushAsyncLoading=0.011817, FlushStreamingFunc=0.060339, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=0.343665, TagPackageExports=12.105047, BeginCacheForCookedPlatformData=0.004977, SerializeImports=26.575308, GatherLocalizableTextData=8.976933, MarkNames=0.068419, SerializeSummary=0.019908, SerializeNames=0.325624, SerializeGatherableTextData=0.075575, BuildExportMap=0.199355, SortExportsNonSeekfree=1.828104, SortExportsSeekfreeConstructor=0.067178, SortExportsSeekfreeInner=15.007995, SortExportsSeekfree=0.007153, BuildDependencyMap=0.834435, SerializeImportMap=0.021771, SerializeExportMap=0.071529, SerializeDependencyMap=0.018038, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.702148, SerializeExports=18.247452, SerializeBulkData=0.027370, MoveFile=3.624797, UnaccountedTime=16.994402, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=37.204002, FlushAsyncLoading=0.011194, FlushStreamingFunc=0.059716, BlockTillAllRequestsFinished=0.004351, ResetLoadersForSaveUnMarkAllObjects=0.288617, TagPackageExports=11.114177, BeginCacheForCookedPlatformData=0.004042, SerializeImports=12.870130, GatherLocalizableTextData=7.705219, MarkNames=0.069045, SerializeSummary=0.013683, SerializeNames=0.320029, SerializeGatherableTextData=0.088636, BuildExportMap=0.241965, SortExportsNonSeekfree=1.816284, SortExportsSeekfreeConstructor=0.012442, SortExportsSeekfreeInner=16.559612, SortExportsSeekfree=0.008084, BuildDependencyMap=0.172298, SerializeImportMap=0.024259, SerializeExportMap=0.060026, SerializeDependencyMap=0.011194, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.437478, SerializeExports=15.778985, SerializeBulkData=0.009950, MoveFile=3.468983, UnaccountedTime=1.776475, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=13.023455, FlushAsyncLoading=0.010576, FlushStreamingFunc=0.131864, BlockTillAllRequestsFinished=0.006534, ResetLoadersForSaveUnMarkAllObjects=0.133730, TagPackageExports=1.757193, BeginCacheForCookedPlatformData=0.002488, SerializeImports=2.840433, GatherLocalizableTextData=2.079710, MarkNames=0.025813, SerializeSummary=0.013374, SerializeNames=0.130001, SerializeGatherableTextData=0.114452, BuildExportMap=0.096101, SortExportsNonSeekfree=0.175096, SortExportsSeekfreeConstructor=0.056606, SortExportsSeekfreeInner=6.389033, SortExportsSeekfree=0.004042, BuildDependencyMap=0.029236, SerializeImportMap=0.011198, SerializeExportMap=0.015859, SerializeDependencyMap=0.004668, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.356104, SerializeExports=2.856608, SerializeBulkData=0.006840, MoveFile=2.897974, UnaccountedTime=1.588937, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=7.736631, FlushAsyncLoading=0.004355, FlushStreamingFunc=0.111338, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.161413, TagPackageExports=1.535445, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.615575, GatherLocalizableTextData=2.069757, MarkNames=0.024572, SerializeSummary=0.013683, SerializeNames=0.111651, SerializeGatherableTextData=0.099212, BuildExportMap=0.109784, SortExportsNonSeekfree=0.152707, SortExportsSeekfreeConstructor=0.057537, SortExportsSeekfreeInner=6.264009, SortExportsSeekfree=0.004042, BuildDependencyMap=0.024568, SerializeImportMap=0.010576, SerializeExportMap=0.014305, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.322204, SerializeExports=2.582919, SerializeBulkData=0.004977, MoveFile=3.034193, UnaccountedTime=1.565926, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=11.314154, FlushAsyncLoading=0.004977, FlushStreamingFunc=0.152390, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.123471, TagPackageExports=1.701523, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.833903, GatherLocalizableTextData=2.128538, MarkNames=0.022702, SerializeSummary=0.011820, SerializeNames=0.129066, SerializeGatherableTextData=0.091746, BuildExportMap=0.092681, SortExportsNonSeekfree=0.176962, SortExportsSeekfreeConstructor=0.053804, SortExportsSeekfreeInner=6.696932, SortExportsSeekfree=0.004042, BuildDependencyMap=0.029236, SerializeImportMap=0.010885, SerializeExportMap=0.015862, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.374764, SerializeExports=2.701726, SerializeBulkData=0.004355, MoveFile=2.975721, UnaccountedTime=1.623772, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=9.446863, FlushAsyncLoading=0.009023, FlushStreamingFunc=0.047892, BlockTillAllRequestsFinished=0.004668, ResetLoadersForSaveUnMarkAllObjects=62.910042, TagPackageExports=4.597627, BeginCacheForCookedPlatformData=0.004977, SerializeImports=5.491152, GatherLocalizableTextData=8.874301, MarkNames=0.057533, SerializeSummary=0.017107, SerializeNames=0.378188, SerializeGatherableTextData=0.049137, BuildExportMap=0.225794, SortExportsNonSeekfree=0.590604, SortExportsSeekfreeConstructor=0.061266, SortExportsSeekfreeInner=14.887325, SortExportsSeekfree=0.005908, BuildDependencyMap=0.094857, SerializeImportMap=0.038873, SerializeExportMap=0.041053, SerializeDependencyMap=0.006843, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.131445, SerializeExports=6.689779, SerializeBulkData=2.908546, MoveFile=3.112257, UnaccountedTime=0.180073, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=7.519856, FlushAsyncLoading=0.003424, FlushStreamingFunc=0.139952, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.111032, TagPackageExports=2.175499, BeginCacheForCookedPlatformData=0.002801, SerializeImports=3.627282, GatherLocalizableTextData=2.071936, MarkNames=0.026125, SerializeSummary=0.013061, SerializeNames=0.137467, SerializeGatherableTextData=0.106364, BuildExportMap=0.110719, SortExportsNonSeekfree=0.253469, SortExportsSeekfreeConstructor=0.057537, SortExportsSeekfreeInner=7.051483, SortExportsSeekfree=0.004351, BuildDependencyMap=0.032656, SerializeImportMap=0.011507, SerializeExportMap=0.020839, SerializeDependencyMap=0.009950, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.420172, SerializeExports=3.571924, SerializeBulkData=0.004664, MoveFile=2.722874, UnaccountedTime=1.455203, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=7.685937, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.130001, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.161104, TagPackageExports=2.288707, BeginCacheForCookedPlatformData=0.003420, SerializeImports=3.979035, GatherLocalizableTextData=2.049230, MarkNames=0.025813, SerializeSummary=0.013687, SerializeNames=0.139020, SerializeGatherableTextData=0.114139, BuildExportMap=0.110406, SortExportsNonSeekfree=0.270266, SortExportsSeekfreeConstructor=0.055671, SortExportsSeekfreeInner=7.365290, SortExportsSeekfree=0.006530, BuildDependencyMap=0.035767, SerializeImportMap=0.011198, SerializeExportMap=0.021148, SerializeDependencyMap=0.010263, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.432923, SerializeExports=3.474891, SerializeBulkData=0.004664, MoveFile=2.704211, UnaccountedTime=1.559082, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=13.005726, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.097033, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.119116, TagPackageExports=11.917196, BeginCacheForCookedPlatformData=0.006221, SerializeImports=13.647337, GatherLocalizableTextData=8.437332, MarkNames=0.075884, SerializeSummary=0.015240, SerializeNames=0.324070, SerializeGatherableTextData=0.112273, BuildExportMap=0.256583, SortExportsNonSeekfree=1.725160, SortExportsSeekfreeConstructor=0.058159, SortExportsSeekfreeInner=16.795979, SortExportsSeekfree=0.006530, BuildDependencyMap=0.103254, SerializeImportMap=0.022702, SerializeExportMap=0.066556, SerializeDependencyMap=0.014931, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.524247, SerializeExports=16.568008, SerializeBulkData=0.008710, MoveFile=3.365416, UnaccountedTime=1.589872, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=11.322238, FlushAsyncLoading=0.004668, FlushStreamingFunc=0.117559, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.103567, TagPackageExports=13.184555, BeginCacheForCookedPlatformData=0.004664, SerializeImports=15.060555, GatherLocalizableTextData=9.563804, MarkNames=0.166077, SerializeSummary=0.017416, SerializeNames=0.327803, SerializeGatherableTextData=0.126891, BuildExportMap=0.269022, SortExportsNonSeekfree=1.960594, SortExportsSeekfreeConstructor=0.060022, SortExportsSeekfreeInner=18.700592, SortExportsSeekfree=0.007465, BuildDependencyMap=0.137154, SerializeImportMap=0.023637, SerializeExportMap=0.070911, SerializeDependencyMap=0.016171, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.696236, SerializeExports=18.487238, SerializeBulkData=0.009332, MoveFile=3.365416, UnaccountedTime=1.562811, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
SavePackageTransactionIdBD9490694DCF2BE90F678786993E0A48_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=7.734142, FlushAsyncLoading=0.004355, FlushStreamingFunc=0.106055, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.113517, TagPackageExports=12.692541, BeginCacheForCookedPlatformData=0.005286, SerializeImports=14.487058, GatherLocalizableTextData=9.530212, MarkNames=0.076510, SerializeSummary=0.015859, SerializeNames=0.355482, SerializeGatherableTextData=0.118494, BuildExportMap=0.268713, SortExportsNonSeekfree=1.955926, SortExportsSeekfreeConstructor=0.057537, SortExportsSeekfreeInner=18.018860, SortExportsSeekfree=0.007465, BuildDependencyMap=0.118181, SerializeImportMap=0.023015, SerializeExportMap=0.070598, SerializeDependencyMap=0.016484, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.610711, SerializeExports=18.241852, SerializeBulkData=0.008710, MoveFile=3.540203, UnaccountedTime=0.215527, RunGuid=RunID998CB9D847C3CE7D4D7C318E17853538
