CookerStat, GenerateAssetRegistry=0.024259, Initialize=0.134356, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=71.925850, FlushAsyncLoading=0.010263, FlushStreamingFunc=0.075266, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.135597, TagPackageExports=3.061872, BeginCacheForCookedPlatformData=0.003420, SerializeImports=4.113391, GatherLocalizableTextData=2.729092, MarkNames=0.051629, SerializeSummary=0.017729, SerializeNames=0.251915, SerializeGatherableTextData=0.017416, BuildExportMap=0.133734, SortExportsNonSeekfree=0.343662, SortExportsSeekfreeConstructor=0.068113, SortExportsSeekfreeInner=8.080606, SortExportsSeekfree=0.005908, BuildDependencyMap=0.063136, SerializeImportMap=0.016794, SerializeExportMap=0.023015, SerializeDependencyMap=0.005290, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.496991, SerializeExports=4.476957, SerializeBulkData=0.013996, MoveFile=3.842812, UnaccountedTime=1.571525, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=8.666236, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.223301, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.117559, TagPackageExports=2.858471, BeginCacheForCookedPlatformData=0.002488, SerializeImports=4.083224, GatherLocalizableTextData=2.645433, MarkNames=0.030790, SerializeSummary=0.013683, SerializeNames=0.247560, SerializeGatherableTextData=0.017107, BuildExportMap=0.129692, SortExportsNonSeekfree=0.308208, SortExportsSeekfreeConstructor=0.056915, SortExportsSeekfreeInner=7.655148, SortExportsSeekfree=0.006218, BuildDependencyMap=0.041366, SerializeImportMap=0.015240, SerializeExportMap=0.022702, SerializeDependencyMap=0.004664, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.491705, SerializeExports=4.621886, SerializeBulkData=0.006221, MoveFile=5.379815, UnaccountedTime=0.174165, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=8.487094, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.098281, BlockTillAllRequestsFinished=0.004973, ResetLoadersForSaveUnMarkAllObjects=0.104189, TagPackageExports=3.043212, BeginCacheForCookedPlatformData=0.003420, SerializeImports=4.080735, GatherLocalizableTextData=2.725050, MarkNames=0.034522, SerializeSummary=0.015240, SerializeNames=0.240095, SerializeGatherableTextData=0.017419, BuildExportMap=0.128757, SortExportsNonSeekfree=0.302922, SortExportsSeekfreeConstructor=0.060335, SortExportsSeekfreeInner=7.740050, SortExportsSeekfree=0.006530, BuildDependencyMap=0.056293, SerializeImportMap=0.014927, SerializeExportMap=0.023015, SerializeDependencyMap=0.004977, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.476465, SerializeExports=4.398893, SerializeBulkData=0.006530, MoveFile=3.625110, UnaccountedTime=0.169497, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=9.193704, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.098281, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=0.115696, TagPackageExports=3.490131, BeginCacheForCookedPlatformData=0.002488, SerializeImports=4.639615, GatherLocalizableTextData=3.037613, MarkNames=0.032969, SerializeSummary=0.012752, SerializeNames=0.275552, SerializeGatherableTextData=0.051938, BuildExportMap=0.146795, SortExportsNonSeekfree=0.397157, SortExportsSeekfreeConstructor=0.055671, SortExportsSeekfreeInner=8.028355, SortExportsSeekfree=0.004977, BuildDependencyMap=0.041053, SerializeImportMap=0.014927, SerializeExportMap=0.024881, SerializeDependencyMap=0.004977, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.554524, SerializeExports=5.093686, SerializeBulkData=0.005599, MoveFile=18.629681, UnaccountedTime=1.513053, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=12.129616, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.129379, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.104498, TagPackageExports=3.044143, BeginCacheForCookedPlatformData=0.003733, SerializeImports=4.133917, GatherLocalizableTextData=3.006823, MarkNames=0.029545, SerializeSummary=0.012752, SerializeNames=0.235744, SerializeGatherableTextData=0.046030, BuildExportMap=0.128444, SortExportsNonSeekfree=0.306033, SortExportsSeekfreeConstructor=0.054114, SortExportsSeekfreeInner=7.788572, SortExportsSeekfree=0.004042, BuildDependencyMap=0.038877, SerializeImportMap=0.016171, SerializeExportMap=0.022702, SerializeDependencyMap=0.004668, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.485171, SerializeExports=4.701816, SerializeBulkData=0.008710, MoveFile=2.889577, UnaccountedTime=1.591425, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=9.231028, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.062201, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.153638, TagPackageExports=3.277712, BeginCacheForCookedPlatformData=0.004046, SerializeImports=4.254274, GatherLocalizableTextData=3.021132, MarkNames=0.029545, SerializeSummary=0.012752, SerializeNames=0.241652, SerializeGatherableTextData=0.045408, BuildExportMap=0.127513, SortExportsNonSeekfree=0.306964, SortExportsSeekfreeConstructor=0.053804, SortExportsSeekfreeInner=8.036755, SortExportsSeekfree=0.005286, BuildDependencyMap=0.039186, SerializeImportMap=0.013996, SerializeExportMap=0.022084, SerializeDependencyMap=0.006843, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.465889, SerializeExports=4.634328, SerializeBulkData=0.005286, MoveFile=2.957061, UnaccountedTime=1.504034, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/OverworldLevel_Auto1.umap, AutoPackageBackupDelegate=14.342748, FlushAsyncLoading=0.011194, FlushStreamingFunc=0.052873, BlockTillAllRequestsFinished=0.025503, ResetLoadersForSaveUnMarkAllObjects=71.326538, TagPackageExports=6.483581, BeginCacheForCookedPlatformData=0.003729, SerializeImports=8.295823, GatherLocalizableTextData=10.840181, MarkNames=0.078995, SerializeSummary=0.017416, SerializeNames=0.396848, SerializeGatherableTextData=0.068109, BuildExportMap=0.266846, SortExportsNonSeekfree=1.049027, SortExportsSeekfreeConstructor=0.065312, SortExportsSeekfreeInner=18.557529, SortExportsSeekfree=0.007153, BuildDependencyMap=1.227237, SerializeImportMap=0.033900, SerializeExportMap=0.051938, SerializeDependencyMap=0.015549, SerializeStringAssetReferenceMap=0.004042, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.085932, SerializeExports=10.642998, SerializeBulkData=2.992518, MoveFile=3.111012, UnaccountedTime=0.234809, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/BattlePlayerController_BP_Auto1.uasset, AutoPackageBackupDelegate=14.832586, FlushAsyncLoading=0.011507, FlushStreamingFunc=0.060644, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.132490, TagPackageExports=11.868995, BeginCacheForCookedPlatformData=0.004355, SerializeImports=13.032470, GatherLocalizableTextData=8.241087, MarkNames=0.088327, SerializeSummary=0.016794, SerializeNames=0.316605, SerializeGatherableTextData=0.119429, BuildExportMap=0.252847, SortExportsNonSeekfree=1.770258, SortExportsSeekfreeConstructor=0.016794, SortExportsSeekfreeInner=17.571632, SortExportsSeekfree=0.008088, BuildDependencyMap=0.102323, SerializeImportMap=0.023950, SerializeExportMap=0.060335, SerializeDependencyMap=0.010885, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.636524, SerializeExports=15.895300, SerializeBulkData=0.010263, MoveFile=36.010662, UnaccountedTime=0.234812, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=14.425788, FlushAsyncLoading=0.013683, FlushStreamingFunc=0.052873, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=80.409210, TagPackageExports=6.500065, BeginCacheForCookedPlatformData=0.003111, SerializeImports=8.254148, GatherLocalizableTextData=10.870345, MarkNames=0.078063, SerializeSummary=0.017107, SerializeNames=0.455003, SerializeGatherableTextData=0.067178, BuildExportMap=0.254404, SortExportsNonSeekfree=1.066446, SortExportsSeekfreeConstructor=0.083040, SortExportsSeekfreeInner=18.708675, SortExportsSeekfree=0.005908, BuildDependencyMap=0.124093, SerializeImportMap=0.040743, SerializeExportMap=0.052869, SerializeDependencyMap=0.009641, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.457695, SerializeExports=10.493405, SerializeBulkData=3.472712, MoveFile=5.449481, UnaccountedTime=1.870710, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=10.184884, FlushAsyncLoading=0.009023, FlushStreamingFunc=0.114139, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.123471, TagPackageExports=2.931870, BeginCacheForCookedPlatformData=0.002176, SerializeImports=4.071094, GatherLocalizableTextData=2.324473, MarkNames=0.032034, SerializeSummary=0.013374, SerializeNames=0.241339, SerializeGatherableTextData=0.011507, BuildExportMap=0.129379, SortExportsNonSeekfree=0.306346, SortExportsSeekfreeConstructor=0.056289, SortExportsSeekfreeInner=7.525459, SortExportsSeekfree=0.004664, BuildDependencyMap=0.106987, SerializeImportMap=0.013065, SerializeExportMap=0.023015, SerializeDependencyMap=0.006530, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.460912, SerializeExports=4.321765, SerializeBulkData=0.004042, MoveFile=2.792850, UnaccountedTime=1.596402, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
SavePackageTransactionId3A562D0E460182548DB330A7AE562780_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=8.975685, FlushAsyncLoading=0.004664, FlushStreamingFunc=0.096723, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.112895, TagPackageExports=0.780009, BeginCacheForCookedPlatformData=0.001866, SerializeImports=1.786429, GatherLocalizableTextData=2.355885, MarkNames=0.023637, SerializeSummary=0.012439, SerializeNames=0.122227, SerializeGatherableTextData=0.098899, BuildExportMap=0.075266, SortExportsNonSeekfree=0.053182, SortExportsSeekfreeConstructor=0.057846, SortExportsSeekfreeInner=5.445748, SortExportsSeekfree=0.004042, BuildDependencyMap=0.020839, SerializeImportMap=0.009328, SerializeExportMap=0.010576, SerializeDependencyMap=0.002179, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.343662, SerializeExports=1.315564, SerializeBulkData=0.004355, MoveFile=20.259052, UnaccountedTime=1.551617, RunGuid=RunIDA5CE2E3842C133A45BD85997727A17A2
