CookerStat, GenerateAssetRegistry=76.900063, Initialize=170.307785, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=1926.997803, FlushAsyncLoading=0.013065, FlushStreamingFunc=0.086460, BlockTillAllRequestsFinished=0.007775, ResetLoadersForSaveUnMarkAllObjects=38.087864, TagPackageExports=13.021890, BeginCacheForCookedPlatformData=0.005286, SerializeImports=15.169087, GatherLocalizableTextData=9.785544, MarkNames=0.092369, SerializeSummary=0.018042, SerializeNames=0.385027, SerializeGatherableTextData=0.093300, BuildExportMap=0.319406, SortExportsNonSeekfree=2.175808, SortExportsSeekfreeConstructor=0.066869, SortExportsSeekfreeInner=16.504244, SortExportsSeekfree=0.009019, BuildDependencyMap=0.146795, SerializeImportMap=0.029236, SerializeExportMap=0.081483, SerializeDependencyMap=0.019282, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.756262, SerializeExports=18.493135, SerializeBulkData=0.030167, MoveFile=3.308501, UnaccountedTime=54.468323, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=18.289116, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.045408, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.106052, TagPackageExports=12.506548, BeginCacheForCookedPlatformData=0.005290, SerializeImports=15.356314, GatherLocalizableTextData=10.008224, MarkNames=0.087395, SerializeSummary=0.015240, SerializeNames=0.363879, SerializeGatherableTextData=0.111338, BuildExportMap=0.309765, SortExportsNonSeekfree=2.222151, SortExportsSeekfreeConstructor=0.064377, SortExportsSeekfreeInner=15.182771, SortExportsSeekfree=0.005912, BuildDependencyMap=0.127822, SerializeImportMap=0.025503, SerializeExportMap=0.080861, SerializeDependencyMap=0.014309, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.716763, SerializeExports=19.000389, SerializeBulkData=0.009641, MoveFile=3.147397, UnaccountedTime=1.894660, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=20.155161, FlushAsyncLoading=0.009641, FlushStreamingFunc=0.087705, BlockTillAllRequestsFinished=0.007462, ResetLoadersForSaveUnMarkAllObjects=0.125337, TagPackageExports=12.218870, BeginCacheForCookedPlatformData=0.005908, SerializeImports=14.285516, GatherLocalizableTextData=10.103081, MarkNames=0.082109, SerializeSummary=0.015549, SerializeNames=0.339933, SerializeGatherableTextData=0.088014, BuildExportMap=0.275552, SortExportsNonSeekfree=1.890305, SortExportsSeekfreeConstructor=0.059091, SortExportsSeekfreeInner=14.845017, SortExportsSeekfree=0.007153, BuildDependencyMap=0.118807, SerializeImportMap=0.022706, SerializeExportMap=0.072464, SerializeDependencyMap=0.017729, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.632165, SerializeExports=17.968781, SerializeBulkData=0.009328, MoveFile=3.012728, UnaccountedTime=1.518965, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=11.202187, FlushAsyncLoading=0.004973, FlushStreamingFunc=0.090506, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.106364, TagPackageExports=12.338605, BeginCacheForCookedPlatformData=0.006221, SerializeImports=14.175419, GatherLocalizableTextData=10.087844, MarkNames=0.083972, SerializeSummary=0.015549, SerializeNames=0.352994, SerializeGatherableTextData=0.088327, BuildExportMap=0.275243, SortExportsNonSeekfree=1.984850, SortExportsSeekfreeConstructor=0.061270, SortExportsSeekfreeInner=15.820644, SortExportsSeekfree=0.007465, BuildDependencyMap=0.124715, SerializeImportMap=0.024259, SerializeExportMap=0.072774, SerializeDependencyMap=0.016171, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.597024, SerializeExports=18.124592, SerializeBulkData=0.009641, MoveFile=3.034193, UnaccountedTime=0.207130, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=18.305595, FlushAsyncLoading=0.004977, FlushStreamingFunc=0.156127, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.120360, TagPackageExports=12.038794, BeginCacheForCookedPlatformData=0.004355, SerializeImports=14.608964, GatherLocalizableTextData=10.096863, MarkNames=0.092369, SerializeSummary=0.015549, SerializeNames=0.347394, SerializeGatherableTextData=0.108544, BuildExportMap=0.283640, SortExportsNonSeekfree=1.885328, SortExportsSeekfreeConstructor=0.010572, SortExportsSeekfreeInner=13.885248, SortExportsSeekfree=0.007153, BuildDependencyMap=0.117872, SerializeImportMap=0.023633, SerializeExportMap=0.072155, SerializeDependencyMap=0.016481, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.499679, SerializeExports=17.716862, SerializeBulkData=0.009641, MoveFile=3.195293, UnaccountedTime=1.740400, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=18.071722, FlushAsyncLoading=0.004977, FlushStreamingFunc=0.143062, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.117872, TagPackageExports=12.323368, BeginCacheForCookedPlatformData=0.004664, SerializeImports=14.422048, GatherLocalizableTextData=10.159377, MarkNames=0.084281, SerializeSummary=0.015240, SerializeNames=0.343353, SerializeGatherableTextData=0.118494, BuildExportMap=0.291415, SortExportsNonSeekfree=2.190117, SortExportsSeekfreeConstructor=0.060957, SortExportsSeekfreeInner=15.381504, SortExportsSeekfree=0.006843, BuildDependencyMap=0.124715, SerializeImportMap=0.024255, SerializeExportMap=0.088327, SerializeDependencyMap=0.020526, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.599513, SerializeExports=17.779373, SerializeBulkData=0.009332, MoveFile=3.220484, UnaccountedTime=1.540732, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=11.985611, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.092681, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.121914, TagPackageExports=12.774326, BeginCacheForCookedPlatformData=0.006221, SerializeImports=14.924325, GatherLocalizableTextData=10.259521, MarkNames=0.099212, SerializeSummary=0.016481, SerializeNames=0.347707, SerializeGatherableTextData=0.116941, BuildExportMap=0.281151, SortExportsNonSeekfree=2.601579, SortExportsSeekfreeConstructor=0.106674, SortExportsSeekfreeInner=15.349470, SortExportsSeekfree=0.008401, BuildDependencyMap=0.128135, SerializeImportMap=0.025190, SerializeExportMap=0.075575, SerializeDependencyMap=0.017416, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.614440, SerializeExports=17.872677, SerializeBulkData=0.010885, MoveFile=2.950843, UnaccountedTime=1.557212, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=21.388929, FlushAsyncLoading=0.012439, FlushStreamingFunc=0.056293, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.131864, TagPackageExports=13.287179, BeginCacheForCookedPlatformData=0.007462, SerializeImports=15.010785, GatherLocalizableTextData=11.325967, MarkNames=0.090502, SerializeSummary=0.013996, SerializeNames=0.372276, SerializeGatherableTextData=0.116006, BuildExportMap=0.315361, SortExportsNonSeekfree=2.671868, SortExportsSeekfreeConstructor=0.061579, SortExportsSeekfreeInner=10950.104492, SortExportsSeekfree=0.012752, BuildDependencyMap=32.292549, SerializeImportMap=0.031099, SerializeExportMap=0.087705, SerializeDependencyMap=0.018038, SerializeStringAssetReferenceMap=0.004668, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.512939, SerializeExports=21.415367, SerializeBulkData=0.014305, MoveFile=2.896417, UnaccountedTime=1.643050, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/OverworldLevel_Auto1.umap, AutoPackageBackupDelegate=20.407078, FlushAsyncLoading=0.008397, FlushStreamingFunc=0.078063, BlockTillAllRequestsFinished=0.007462, ResetLoadersForSaveUnMarkAllObjects=70.824532, TagPackageExports=8.405912, BeginCacheForCookedPlatformData=0.005912, SerializeImports=12.153555, GatherLocalizableTextData=12.379349, MarkNames=0.086460, SerializeSummary=0.018660, SerializeNames=0.513785, SerializeGatherableTextData=0.049453, BuildExportMap=0.351749, SortExportsNonSeekfree=1.434676, SortExportsSeekfreeConstructor=0.062201, SortExportsSeekfreeInner=22.233315, SortExportsSeekfree=0.006534, BuildDependencyMap=0.178829, SerializeImportMap=0.053495, SerializeExportMap=0.061266, SerializeDependencyMap=0.012752, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.050474, SerializeExports=13.565842, SerializeBulkData=26.954409, MoveFile=3.808912, UnaccountedTime=0.237301, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=18.280718, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.107918, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.106677, TagPackageExports=13.394170, BeginCacheForCookedPlatformData=0.005595, SerializeImports=14.997412, GatherLocalizableTextData=10.173373, MarkNames=0.085525, SerializeSummary=0.015862, SerializeNames=0.368543, SerializeGatherableTextData=0.120673, BuildExportMap=0.317536, SortExportsNonSeekfree=2.634235, SortExportsSeekfreeConstructor=0.065625, SortExportsSeekfreeInner=16.154360, SortExportsSeekfree=0.006530, BuildDependencyMap=0.127200, SerializeImportMap=0.025190, SerializeExportMap=0.080861, SerializeDependencyMap=0.017725, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.720492, SerializeExports=18.899937, SerializeBulkData=0.009332, MoveFile=3.530871, UnaccountedTime=1.734488, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
SavePackageTransactionIdC767F02C46198799C056A696E429B2DA_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=20.070568, FlushAsyncLoading=0.010885, FlushStreamingFunc=0.057533, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.121605, TagPackageExports=14.298267, BeginCacheForCookedPlatformData=0.005286, SerializeImports=16.053591, GatherLocalizableTextData=11.542115, MarkNames=0.089262, SerializeSummary=0.013374, SerializeNames=0.370719, SerializeGatherableTextData=0.122227, BuildExportMap=0.329357, SortExportsNonSeekfree=2.546530, SortExportsSeekfreeConstructor=0.064690, SortExportsSeekfreeInner=17.295137, SortExportsSeekfree=0.006843, BuildDependencyMap=0.134043, SerializeImportMap=0.024255, SerializeExportMap=0.082731, SerializeDependencyMap=0.018038, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.894660, SerializeExports=20.508778, SerializeBulkData=0.009954, MoveFile=3.370076, UnaccountedTime=1.511499, RunGuid=RunID5254271D4661321B4C5DEC9BF624C714
