CookerStat, GenerateAssetRegistry=0.025190, Initialize=0.155192, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=57.172848, FlushAsyncLoading=0.012442, FlushStreamingFunc=0.096723, BlockTillAllRequestsFinished=0.007775, ResetLoadersForSaveUnMarkAllObjects=0.147417, TagPackageExports=16.454794, BeginCacheForCookedPlatformData=0.005599, SerializeImports=19.484316, GatherLocalizableTextData=12.258057, MarkNames=0.087082, SerializeSummary=0.018973, SerializeNames=0.322826, SerializeGatherableTextData=0.093922, BuildExportMap=0.224236, SortExportsNonSeekfree=2.255429, SortExportsSeekfreeConstructor=0.068422, SortExportsSeekfreeInner=20.171642, SortExportsSeekfree=0.007778, BuildDependencyMap=0.132177, SerializeImportMap=0.023637, SerializeExportMap=0.086773, SerializeDependencyMap=0.018660, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.783319, SerializeExports=24.126104, SerializeBulkData=0.031412, MoveFile=20.285786, UnaccountedTime=2.800312, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.414030, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.105120, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.101388, TagPackageExports=18.169689, BeginCacheForCookedPlatformData=0.005595, SerializeImports=20.147699, GatherLocalizableTextData=13.129186, MarkNames=0.108544, SerializeSummary=0.017103, SerializeNames=0.393115, SerializeGatherableTextData=0.179142, BuildExportMap=0.340864, SortExportsNonSeekfree=2.653517, SortExportsSeekfreeConstructor=0.064999, SortExportsSeekfreeInner=21.131727, SortExportsSeekfree=0.007775, BuildDependencyMap=0.154570, SerializeImportMap=0.027057, SerializeExportMap=0.098903, SerializeDependencyMap=0.021771, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.985651, SerializeExports=25.814257, SerializeBulkData=0.010885, MoveFile=3.575031, UnaccountedTime=1.760926, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.218098, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.096723, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.103876, TagPackageExports=18.692493, BeginCacheForCookedPlatformData=0.005599, SerializeImports=20.091404, GatherLocalizableTextData=14.462166, MarkNames=0.103567, SerializeSummary=0.013996, SerializeNames=0.377562, SerializeGatherableTextData=0.162348, BuildExportMap=0.334956, SortExportsNonSeekfree=2.857536, SortExportsSeekfreeConstructor=0.062201, SortExportsSeekfreeInner=22.081234, SortExportsSeekfree=0.007153, BuildDependencyMap=0.179451, SerializeImportMap=0.026435, SerializeExportMap=0.100456, SerializeDependencyMap=0.020526, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.234902, SerializeExports=26.355721, SerializeBulkData=0.010263, MoveFile=3.816996, UnaccountedTime=1.680065, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=21.197662, FlushAsyncLoading=0.009950, FlushStreamingFunc=0.071533, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.129379, TagPackageExports=16.045195, BeginCacheForCookedPlatformData=0.006534, SerializeImports=17.855257, GatherLocalizableTextData=14.710665, MarkNames=0.105742, SerializeSummary=0.016794, SerializeNames=0.362944, SerializeGatherableTextData=0.125337, BuildExportMap=0.313185, SortExportsNonSeekfree=2.358682, SortExportsSeekfreeConstructor=0.066556, SortExportsSeekfreeInner=18.474165, SortExportsSeekfree=0.007153, BuildDependencyMap=0.143375, SerializeImportMap=0.024881, SerializeExportMap=0.110719, SerializeDependencyMap=0.020213, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.842968, SerializeExports=22.648510, SerializeBulkData=0.010576, MoveFile=3.333066, UnaccountedTime=1.533579, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.761738, FlushAsyncLoading=0.004973, FlushStreamingFunc=0.107300, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.117250, TagPackageExports=16.131968, BeginCacheForCookedPlatformData=0.005908, SerializeImports=17.677675, GatherLocalizableTextData=14.335896, MarkNames=0.094857, SerializeSummary=0.014927, SerializeNames=0.375699, SerializeGatherableTextData=0.117872, BuildExportMap=0.298876, SortExportsNonSeekfree=2.406579, SortExportsSeekfreeConstructor=0.060644, SortExportsSeekfreeInner=19.343431, SortExportsSeekfree=0.008397, BuildDependencyMap=0.160173, SerializeImportMap=0.024259, SerializeExportMap=0.092678, SerializeDependencyMap=0.019591, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.002265, SerializeExports=22.563293, SerializeBulkData=0.010576, MoveFile=3.627282, UnaccountedTime=1.618173, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.660036, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.089880, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.106987, TagPackageExports=15.754402, BeginCacheForCookedPlatformData=0.005908, SerializeImports=17.872990, GatherLocalizableTextData=14.612694, MarkNames=0.092681, SerializeSummary=0.015240, SerializeNames=0.371654, SerializeGatherableTextData=0.120670, BuildExportMap=0.304475, SortExportsNonSeekfree=2.382319, SortExportsSeekfreeConstructor=0.064068, SortExportsSeekfreeInner=18.796991, SortExportsSeekfree=0.013065, BuildDependencyMap=0.157990, SerializeImportMap=0.024568, SerializeExportMap=0.092369, SerializeDependencyMap=0.018664, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.938824, SerializeExports=22.929039, SerializeBulkData=0.010263, MoveFile=5.089950, UnaccountedTime=1.645856, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=13.560243, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.127822, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.126891, TagPackageExports=15.658613, BeginCacheForCookedPlatformData=0.005595, SerializeImports=17.812654, GatherLocalizableTextData=14.288623, MarkNames=0.090502, SerializeSummary=0.016175, SerializeNames=0.358589, SerializeGatherableTextData=0.120673, BuildExportMap=0.294834, SortExportsNonSeekfree=2.179231, SortExportsSeekfreeConstructor=0.064999, SortExportsSeekfreeInner=18.249929, SortExportsSeekfree=0.006843, BuildDependencyMap=0.147108, SerializeImportMap=0.024259, SerializeExportMap=0.089571, SerializeDependencyMap=0.018660, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.952816, SerializeExports=21.562780, SerializeBulkData=0.010576, MoveFile=3.269933, UnaccountedTime=1.554415, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.731880, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.111029, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.123780, TagPackageExports=15.833087, BeginCacheForCookedPlatformData=0.005290, SerializeImports=17.659012, GatherLocalizableTextData=14.506641, MarkNames=0.093304, SerializeSummary=0.014927, SerializeNames=0.372276, SerializeGatherableTextData=0.122227, BuildExportMap=0.312250, SortExportsNonSeekfree=2.221219, SortExportsSeekfreeConstructor=0.059713, SortExportsSeekfreeInner=18.959335, SortExportsSeekfree=0.007465, BuildDependencyMap=0.141196, SerializeImportMap=0.024881, SerializeExportMap=0.091124, SerializeDependencyMap=0.019282, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.856092, SerializeExports=21.782976, SerializeBulkData=0.010263, MoveFile=3.501013, UnaccountedTime=1.523316, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=12.670140, FlushAsyncLoading=0.004973, FlushStreamingFunc=0.111032, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=0.118494, TagPackageExports=16.754913, BeginCacheForCookedPlatformData=0.005912, SerializeImports=18.251791, GatherLocalizableTextData=14.672410, MarkNames=0.103254, SerializeSummary=0.016794, SerializeNames=0.349265, SerializeGatherableTextData=0.125024, BuildExportMap=0.316292, SortExportsNonSeekfree=2.205979, SortExportsSeekfreeConstructor=0.067178, SortExportsSeekfreeInner=19.339386, SortExportsSeekfree=0.007465, BuildDependencyMap=0.171676, SerializeImportMap=0.024259, SerializeExportMap=0.092991, SerializeDependencyMap=0.032656, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.097265, SerializeExports=22.470303, SerializeBulkData=0.010885, MoveFile=3.217995, UnaccountedTime=1.531713, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/OrbPattern_BP.uasset, AutoPackageBackupDelegate=19.008480, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.113830, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.106674, TagPackageExports=15.705574, BeginCacheForCookedPlatformData=0.006534, SerializeImports=17.683271, GatherLocalizableTextData=14.419868, MarkNames=0.094857, SerializeSummary=0.015553, SerializeNames=0.338685, SerializeGatherableTextData=0.121918, BuildExportMap=0.334021, SortExportsNonSeekfree=2.220906, SortExportsSeekfreeConstructor=0.064377, SortExportsSeekfreeInner=19.530657, SortExportsSeekfree=0.008401, BuildDependencyMap=0.149284, SerializeImportMap=0.023950, SerializeExportMap=0.091434, SerializeDependencyMap=0.019595, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.934778, SerializeExports=22.006903, SerializeBulkData=0.010572, MoveFile=3.420774, UnaccountedTime=1.669489, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
SavePackageTransactionId448A2E244743A2D009889A8B39BF2D1A_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=55.297779, FlushAsyncLoading=0.012442, FlushStreamingFunc=0.049137, BlockTillAllRequestsFinished=0.007156, ResetLoadersForSaveUnMarkAllObjects=70.842880, TagPackageExports=7.817179, BeginCacheForCookedPlatformData=0.019591, SerializeImports=9.834372, GatherLocalizableTextData=12.277961, MarkNames=0.079308, SerializeSummary=0.018038, SerializeNames=0.505079, SerializeGatherableTextData=0.048514, BuildExportMap=0.358906, SortExportsNonSeekfree=1.456138, SortExportsSeekfreeConstructor=0.059400, SortExportsSeekfreeInner=22.241093, SortExportsSeekfree=0.006530, BuildDependencyMap=1.075774, SerializeImportMap=0.046652, SerializeExportMap=0.059400, SerializeDependencyMap=0.019904, SerializeStringAssetReferenceMap=0.006218, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.240188, SerializeExports=13.515770, SerializeBulkData=3.115676, MoveFile=3.269002, UnaccountedTime=1.722984, RunGuid=RunID06A81A98433952BCF0FA6488A71D14AB
