CookerStat, GenerateAssetRegistry=0.039496, Initialize=0.152085, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=42.390709, FlushAsyncLoading=0.013061, FlushStreamingFunc=0.051938, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=164.414093, TagPackageExports=67.871590, BeginCacheForCookedPlatformData=0.006534, SerializeImports=71.249763, GatherLocalizableTextData=47.311474, MarkNames=0.254095, SerializeSummary=0.023946, SerializeNames=0.627615, SerializeGatherableTextData=0.340864, BuildExportMap=0.640057, SortExportsNonSeekfree=12.690060, SortExportsSeekfreeConstructor=0.100765, SortExportsSeekfreeInner=89.099136, SortExportsSeekfree=0.009950, BuildDependencyMap=0.778764, SerializeImportMap=0.075575, SerializeExportMap=0.270579, SerializeDependencyMap=0.097036, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.563405, SerializeExports=87.805344, SerializeBulkData=3.666472, MoveFile=4.287556, UnaccountedTime=0.389382, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=43.645000, FlushAsyncLoading=0.010576, FlushStreamingFunc=0.054736, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.131246, TagPackageExports=23.549839, BeginCacheForCookedPlatformData=0.006840, SerializeImports=26.022356, GatherLocalizableTextData=15.203003, MarkNames=0.120360, SerializeSummary=0.016797, SerializeNames=0.333089, SerializeGatherableTextData=0.164524, BuildExportMap=0.334643, SortExportsNonSeekfree=3.255322, SortExportsSeekfreeConstructor=0.066243, SortExportsSeekfreeInner=30.217852, SortExportsSeekfree=0.009328, BuildDependencyMap=0.175100, SerializeImportMap=0.028301, SerializeExportMap=0.102013, SerializeDependencyMap=0.021771, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.651967, SerializeExports=33.232452, SerializeBulkData=0.011507, MoveFile=3.525276, UnaccountedTime=1.805089, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=43.369759, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.059403, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.113830, TagPackageExports=24.797295, BeginCacheForCookedPlatformData=0.007153, SerializeImports=25.563303, GatherLocalizableTextData=15.379660, MarkNames=0.128448, SerializeSummary=0.017725, SerializeNames=0.334024, SerializeGatherableTextData=0.179451, BuildExportMap=0.336822, SortExportsNonSeekfree=3.645323, SortExportsSeekfreeConstructor=0.076510, SortExportsSeekfreeInner=30.824940, SortExportsSeekfree=0.008397, BuildDependencyMap=0.182871, SerializeImportMap=0.027992, SerializeExportMap=0.111029, SerializeDependencyMap=0.022080, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.629884, SerializeExports=36.171478, SerializeBulkData=0.011817, MoveFile=3.649060, UnaccountedTime=1.762483, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=42.290253, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.069976, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.108544, TagPackageExports=26.773750, BeginCacheForCookedPlatformData=0.007153, SerializeImports=25.914743, GatherLocalizableTextData=15.865144, MarkNames=0.143062, SerializeSummary=0.016484, SerializeNames=0.369478, SerializeGatherableTextData=0.176653, BuildExportMap=0.334021, SortExportsNonSeekfree=3.943581, SortExportsSeekfreeConstructor=0.072155, SortExportsSeekfreeInner=37.364815, SortExportsSeekfree=0.008710, BuildDependencyMap=0.182252, SerializeImportMap=0.028923, SerializeExportMap=0.107609, SerializeDependencyMap=0.022702, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.645437, SerializeExports=33.306473, SerializeBulkData=0.011817, MoveFile=2.924722, UnaccountedTime=1.718007, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=42.650089, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.060648, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.167944, TagPackageExports=24.995405, BeginCacheForCookedPlatformData=0.007153, SerializeImports=26.734560, GatherLocalizableTextData=15.014846, MarkNames=0.137158, SerializeSummary=0.021148, SerializeNames=0.327490, SerializeGatherableTextData=0.175096, BuildExportMap=0.343975, SortExportsNonSeekfree=3.273360, SortExportsSeekfreeConstructor=0.073709, SortExportsSeekfreeInner=29.419806, SortExportsSeekfree=0.009954, BuildDependencyMap=0.192825, SerializeImportMap=0.032656, SerializeExportMap=0.106674, SerializeDependencyMap=0.022084, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.754286, SerializeExports=33.175541, SerializeBulkData=0.013065, MoveFile=3.614537, UnaccountedTime=1.905546, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=43.389668, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.055671, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.114139, TagPackageExports=23.556683, BeginCacheForCookedPlatformData=0.007153, SerializeImports=26.140846, GatherLocalizableTextData=15.136142, MarkNames=0.120670, SerializeSummary=0.017107, SerializeNames=0.324070, SerializeGatherableTextData=0.168879, BuildExportMap=0.333089, SortExportsNonSeekfree=3.256563, SortExportsSeekfreeConstructor=0.067178, SortExportsSeekfreeInner=30.417521, SortExportsSeekfree=0.009328, BuildDependencyMap=0.188474, SerializeImportMap=0.029858, SerializeExportMap=0.100456, SerializeDependencyMap=0.021771, SerializeStringAssetReferenceMap=0.002485, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.622109, SerializeExports=33.069798, SerializeBulkData=0.012439, MoveFile=3.475204, UnaccountedTime=1.863249, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=44.652355, FlushAsyncLoading=0.009954, FlushStreamingFunc=0.066243, BlockTillAllRequestsFinished=0.008088, ResetLoadersForSaveUnMarkAllObjects=0.140265, TagPackageExports=0.447232, BeginCacheForCookedPlatformData=0.003107, SerializeImports=1.451477, GatherLocalizableTextData=0.462156, MarkNames=0.016484, SerializeSummary=0.015240, SerializeNames=0.082415, SerializeGatherableTextData=0.006534, BuildExportMap=0.057846, SortExportsNonSeekfree=0.027992, SortExportsSeekfreeConstructor=0.057846, SortExportsSeekfreeInner=4.918903, SortExportsSeekfree=0.005599, BuildDependencyMap=0.016481, SerializeImportMap=0.008397, SerializeExportMap=0.009332, SerializeDependencyMap=0.004042, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.190336, SerializeExports=0.906587, SerializeBulkData=0.006221, MoveFile=2.577011, UnaccountedTime=1.472935, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=41.043732, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.112899, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=0.124715, TagPackageExports=0.427324, BeginCacheForCookedPlatformData=0.001866, SerializeImports=1.464538, GatherLocalizableTextData=0.416126, MarkNames=0.015553, SerializeSummary=0.012130, SerializeNames=0.082415, SerializeGatherableTextData=0.006534, BuildExportMap=0.056911, SortExportsNonSeekfree=0.027370, SortExportsSeekfreeConstructor=0.055362, SortExportsSeekfreeInner=4.379615, SortExportsSeekfree=0.003107, BuildDependencyMap=0.014309, SerializeImportMap=0.008397, SerializeExportMap=0.009332, SerializeDependencyMap=0.003111, SerializeStringAssetReferenceMap=0.001863, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.173543, SerializeExports=0.828218, SerializeBulkData=0.004973, MoveFile=2.536893, UnaccountedTime=0.149284, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=43.768162, FlushAsyncLoading=0.012130, FlushStreamingFunc=0.059716, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=173.585709, TagPackageExports=66.848381, BeginCacheForCookedPlatformData=0.007153, SerializeImports=72.209534, GatherLocalizableTextData=45.215282, MarkNames=0.241652, SerializeSummary=0.019282, SerializeNames=0.629172, SerializeGatherableTextData=0.316296, BuildExportMap=0.639431, SortExportsNonSeekfree=12.882885, SortExportsSeekfreeConstructor=0.067491, SortExportsSeekfreeInner=87.746254, SortExportsSeekfree=0.008706, BuildDependencyMap=0.754505, SerializeImportMap=0.070289, SerializeExportMap=0.269644, SerializeDependencyMap=0.066556, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.473525, SerializeExports=90.179581, SerializeBulkData=2.627395, MoveFile=3.955089, UnaccountedTime=0.369791, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=44.441803, FlushAsyncLoading=0.011198, FlushStreamingFunc=0.055358, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.135597, TagPackageExports=23.128115, BeginCacheForCookedPlatformData=0.006218, SerializeImports=24.066113, GatherLocalizableTextData=14.187567, MarkNames=0.106364, SerializeSummary=0.015549, SerializeNames=0.335891, SerializeGatherableTextData=0.159856, BuildExportMap=0.329047, SortExportsNonSeekfree=3.269315, SortExportsSeekfreeConstructor=0.010263, SortExportsSeekfreeInner=28.205942, SortExportsSeekfree=0.006843, BuildDependencyMap=0.163902, SerializeImportMap=0.030167, SerializeExportMap=0.103567, SerializeDependencyMap=0.022393, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.584789, SerializeExports=30.139168, SerializeBulkData=0.007462, MoveFile=3.899109, UnaccountedTime=0.241343, RunGuid=RunID05275B0344F5A5C373B937AA14489312
SavePackageTransactionId4F68BF6F47DD68736676E68E4C9A957A_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=42.243290, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.053491, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.114761, TagPackageExports=22.824257, BeginCacheForCookedPlatformData=0.006221, SerializeImports=23.566320, GatherLocalizableTextData=14.185079, MarkNames=0.106364, SerializeSummary=0.015549, SerializeNames=0.339001, SerializeGatherableTextData=0.173230, BuildExportMap=0.329979, SortExportsNonSeekfree=3.270250, SortExportsSeekfreeConstructor=0.010576, SortExportsSeekfreeInner=28.598745, SortExportsSeekfree=0.006840, BuildDependencyMap=0.162348, SerializeImportMap=0.027992, SerializeExportMap=0.102010, SerializeDependencyMap=0.021148, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.553068, SerializeExports=30.757759, SerializeBulkData=0.010263, MoveFile=3.893822, UnaccountedTime=1.143265, RunGuid=RunID05275B0344F5A5C373B937AA14489312
