CookerStat, GenerateAssetRegistry=0.023637, Initialize=0.132799, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.493340, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.084903, BlockTillAllRequestsFinished=0.006534, ResetLoadersForSaveUnMarkAllObjects=0.132177, TagPackageExports=1.093503, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.316699, GatherLocalizableTextData=0.856515, MarkNames=0.024572, SerializeSummary=0.015859, SerializeNames=0.105433, SerializeGatherableTextData=0.101700, BuildExportMap=0.078373, SortExportsNonSeekfree=0.069045, SortExportsSeekfreeConstructor=0.063755, SortExportsSeekfreeInner=5.449794, SortExportsSeekfree=0.004046, BuildDependencyMap=0.024568, SerializeImportMap=0.011507, SerializeExportMap=0.010572, SerializeDependencyMap=0.002485, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.275243, SerializeExports=1.689706, SerializeBulkData=0.015240, MoveFile=19.334126, UnaccountedTime=2.015952, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.293983, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.067800, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.106052, TagPackageExports=1.383673, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.552129, GatherLocalizableTextData=1.118697, MarkNames=0.022393, SerializeSummary=0.012130, SerializeNames=0.105742, SerializeGatherableTextData=0.089571, BuildExportMap=0.083040, SortExportsNonSeekfree=0.089880, SortExportsSeekfreeConstructor=0.053491, SortExportsSeekfreeInner=5.577929, SortExportsSeekfree=0.004355, BuildDependencyMap=0.023015, SerializeImportMap=0.009641, SerializeExportMap=0.013065, SerializeDependencyMap=0.003733, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.293590, SerializeExports=2.019063, SerializeBulkData=0.003733, MoveFile=2.920054, UnaccountedTime=1.620039, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.126038, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.078376, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.103254, TagPackageExports=1.353510, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.567995, GatherLocalizableTextData=1.363147, MarkNames=0.023324, SerializeSummary=0.012442, SerializeNames=0.105742, SerializeGatherableTextData=0.103876, BuildExportMap=0.087082, SortExportsNonSeekfree=0.111964, SortExportsSeekfreeConstructor=0.058159, SortExportsSeekfreeInner=5.623024, SortExportsSeekfree=0.003733, BuildDependencyMap=0.022393, SerializeImportMap=0.009641, SerializeExportMap=0.013061, SerializeDependencyMap=0.003729, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.286750, SerializeExports=2.095260, SerializeBulkData=0.004977, MoveFile=18.381819, UnaccountedTime=1.745999, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=44.943146, FlushAsyncLoading=0.010576, FlushStreamingFunc=0.058159, BlockTillAllRequestsFinished=0.007153, ResetLoadersForSaveUnMarkAllObjects=0.118494, TagPackageExports=1.145441, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.107702, GatherLocalizableTextData=2.101481, MarkNames=0.024881, SerializeSummary=0.012752, SerializeNames=0.101078, SerializeGatherableTextData=0.106987, BuildExportMap=0.083663, SortExportsNonSeekfree=0.098277, SortExportsSeekfreeConstructor=0.085216, SortExportsSeekfreeInner=5.465034, SortExportsSeekfree=0.004664, BuildDependencyMap=0.021148, SerializeImportMap=0.010572, SerializeExportMap=0.012752, SerializeDependencyMap=0.003729, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.264980, SerializeExports=2.056073, SerializeBulkData=0.007465, MoveFile=14.084935, UnaccountedTime=1.716763, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=41.777084, FlushAsyncLoading=0.006534, FlushStreamingFunc=0.075575, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.102323, TagPackageExports=1.455829, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.794407, GatherLocalizableTextData=2.124809, MarkNames=0.024259, SerializeSummary=0.012439, SerializeNames=0.106364, SerializeGatherableTextData=0.122849, BuildExportMap=0.089258, SortExportsNonSeekfree=0.095170, SortExportsSeekfreeConstructor=0.074644, SortExportsSeekfreeInner=5.969174, SortExportsSeekfree=0.004668, BuildDependencyMap=0.061266, SerializeImportMap=0.010263, SerializeExportMap=0.013061, SerializeDependencyMap=0.003729, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.325315, SerializeExports=2.289020, SerializeBulkData=0.004355, MoveFile=2.900463, UnaccountedTime=1.847386, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Blueprints/BattleGameMode_BP_Auto1.uasset, AutoPackageBackupDelegate=44.835228, FlushAsyncLoading=0.005290, FlushStreamingFunc=0.078060, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.104498, TagPackageExports=1.493458, BeginCacheForCookedPlatformData=0.002488, SerializeImports=2.617758, GatherLocalizableTextData=2.211578, MarkNames=0.022702, SerializeSummary=0.011507, SerializeNames=0.105120, SerializeGatherableTextData=0.091437, BuildExportMap=0.086460, SortExportsNonSeekfree=0.094544, SortExportsSeekfreeConstructor=0.052873, SortExportsSeekfreeInner=5.816162, SortExportsSeekfree=0.004042, BuildDependencyMap=0.022084, SerializeImportMap=0.009641, SerializeExportMap=0.012752, SerializeDependencyMap=0.005290, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.283640, SerializeExports=2.211887, SerializeBulkData=0.004355, MoveFile=27.429045, UnaccountedTime=0.182871, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=44.672256, FlushAsyncLoading=0.009954, FlushStreamingFunc=0.058159, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.125956, TagPackageExports=2.273157, BeginCacheForCookedPlatformData=0.002801, SerializeImports=3.161706, GatherLocalizableTextData=2.554931, MarkNames=0.024259, SerializeSummary=0.013065, SerializeNames=0.112582, SerializeGatherableTextData=0.110719, BuildExportMap=0.097658, SortExportsNonSeekfree=0.140265, SortExportsSeekfreeConstructor=0.055980, SortExportsSeekfreeInner=6.988350, SortExportsSeekfree=0.005286, BuildDependencyMap=0.029858, SerializeImportMap=0.010576, SerializeExportMap=0.015236, SerializeDependencyMap=0.008706, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.361390, SerializeExports=3.216133, SerializeBulkData=0.004355, MoveFile=14.946736, UnaccountedTime=1.473866, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.910091, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.057846, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.110719, TagPackageExports=2.841990, BeginCacheForCookedPlatformData=0.002798, SerializeImports=3.834728, GatherLocalizableTextData=2.943382, MarkNames=0.030790, SerializeSummary=0.015240, SerializeNames=0.111651, SerializeGatherableTextData=0.116318, BuildExportMap=0.101388, SortExportsNonSeekfree=0.202779, SortExportsSeekfreeConstructor=0.058781, SortExportsSeekfreeInner=7.161580, SortExportsSeekfree=0.005599, BuildDependencyMap=0.033900, SerializeImportMap=0.011198, SerializeExportMap=0.016481, SerializeDependencyMap=0.003733, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.392493, SerializeExports=3.983390, SerializeBulkData=0.005286, MoveFile=2.786946, UnaccountedTime=1.667000, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=43.384068, FlushAsyncLoading=0.006530, FlushStreamingFunc=0.057537, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.104189, TagPackageExports=3.503818, BeginCacheForCookedPlatformData=0.004042, SerializeImports=4.717369, GatherLocalizableTextData=3.386568, MarkNames=0.036389, SerializeSummary=0.016794, SerializeNames=0.122849, SerializeGatherableTextData=0.150215, BuildExportMap=0.114761, SortExportsNonSeekfree=0.284884, SortExportsSeekfreeConstructor=0.061892, SortExportsSeekfreeInner=8.413389, SortExportsSeekfree=0.005599, BuildDependencyMap=0.035767, SerializeImportMap=0.013996, SerializeExportMap=0.036698, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.462782, SerializeExports=6.137122, SerializeBulkData=0.009950, MoveFile=62.864059, UnaccountedTime=1.736358, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.099293, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.051316, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.103876, TagPackageExports=3.997698, BeginCacheForCookedPlatformData=0.003111, SerializeImports=5.021535, GatherLocalizableTextData=3.552023, MarkNames=0.030477, SerializeSummary=0.013374, SerializeNames=0.116941, SerializeGatherableTextData=0.144307, BuildExportMap=0.117872, SortExportsNonSeekfree=0.291727, SortExportsSeekfreeConstructor=0.058781, SortExportsSeekfreeInner=8.811790, SortExportsSeekfree=0.005908, BuildDependencyMap=0.038877, SerializeImportMap=0.011817, SerializeExportMap=0.022706, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.498548, SerializeExports=5.293045, SerializeBulkData=0.005908, MoveFile=2.762683, UnaccountedTime=1.485374, RunGuid=RunID643A5C924BE489B7BF5C898199109125
SavePackageTransactionId87359CC9439CF2F8BA778BA9BF9E6434_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.990021, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.056911, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.109166, TagPackageExports=3.833175, BeginCacheForCookedPlatformData=0.003107, SerializeImports=4.815340, GatherLocalizableTextData=3.531184, MarkNames=0.028923, SerializeSummary=0.012752, SerializeNames=0.122227, SerializeGatherableTextData=0.176653, BuildExportMap=0.125334, SortExportsNonSeekfree=0.291415, SortExportsSeekfreeConstructor=0.058472, SortExportsSeekfreeInner=8.363005, SortExportsSeekfree=0.005599, BuildDependencyMap=0.036389, SerializeImportMap=0.011817, SerializeExportMap=0.022084, SerializeDependencyMap=0.004355, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.491079, SerializeExports=4.954048, SerializeBulkData=0.004977, MoveFile=2.712924, UnaccountedTime=1.574010, RunGuid=RunID643A5C924BE489B7BF5C898199109125
