CookerStat, GenerateAssetRegistry=0.024568, Initialize=0.135601, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=72.071022, FlushAsyncLoading=0.012752, FlushStreamingFunc=0.097968, BlockTillAllRequestsFinished=0.008706, ResetLoadersForSaveUnMarkAllObjects=162.119537, TagPackageExports=68.994225, BeginCacheForCookedPlatformData=0.006530, SerializeImports=75.007866, GatherLocalizableTextData=47.748989, MarkNames=0.260934, SerializeSummary=0.024572, SerializeNames=0.643473, SerializeGatherableTextData=0.324070, BuildExportMap=0.654981, SortExportsNonSeekfree=12.836218, SortExportsSeekfreeConstructor=0.102010, SortExportsSeekfreeInner=92.921280, SortExportsSeekfree=0.010263, BuildDependencyMap=0.821993, SerializeImportMap=0.078373, SerializeExportMap=0.270266, SerializeDependencyMap=0.059091, SerializeStringAssetReferenceMap=0.004042, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.515188, SerializeExports=92.507645, SerializeBulkData=3.740177, MoveFile=4.208554, UnaccountedTime=0.356417, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=49.354408, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.128448, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=151.138168, TagPackageExports=64.534378, BeginCacheForCookedPlatformData=0.006843, SerializeImports=71.853630, GatherLocalizableTextData=46.499050, MarkNames=0.239164, SerializeSummary=0.019591, SerializeNames=0.684530, SerializeGatherableTextData=0.305720, BuildExportMap=0.642855, SortExportsNonSeekfree=12.593318, SortExportsSeekfreeConstructor=0.069976, SortExportsSeekfreeInner=91.462036, SortExportsSeekfree=0.008706, BuildDependencyMap=0.776898, SerializeImportMap=0.065312, SerializeExportMap=0.269331, SerializeDependencyMap=0.055984, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.619061, SerializeExports=89.288094, SerializeBulkData=2.619617, MoveFile=4.287552, UnaccountedTime=0.356100, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=50.678989, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.084594, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=169.997345, TagPackageExports=68.658653, BeginCacheForCookedPlatformData=0.009019, SerializeImports=73.412712, GatherLocalizableTextData=48.142105, MarkNames=0.254713, SerializeSummary=0.019904, SerializeNames=0.635702, SerializeGatherableTextData=0.343662, BuildExportMap=0.635389, SortExportsNonSeekfree=12.582433, SortExportsSeekfreeConstructor=0.087082, SortExportsSeekfreeInner=91.609764, SortExportsSeekfree=0.009019, BuildDependencyMap=0.769433, SerializeImportMap=0.060644, SerializeExportMap=0.267468, SerializeDependencyMap=0.055671, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.598763, SerializeExports=94.505867, SerializeBulkData=2.549019, MoveFile=4.300922, UnaccountedTime=0.373211, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=52.316753, FlushAsyncLoading=0.012752, FlushStreamingFunc=0.062823, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=156.833328, TagPackageExports=68.105370, BeginCacheForCookedPlatformData=0.007465, SerializeImports=75.089348, GatherLocalizableTextData=48.361675, MarkNames=0.253782, SerializeSummary=0.020526, SerializeNames=0.623260, SerializeGatherableTextData=0.326250, BuildExportMap=0.639118, SortExportsNonSeekfree=12.906194, SortExportsSeekfreeConstructor=0.090811, SortExportsSeekfreeInner=93.533348, SortExportsSeekfree=0.009019, BuildDependencyMap=0.802401, SerializeImportMap=0.106052, SerializeExportMap=0.320029, SerializeDependencyMap=0.056602, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.935566, SerializeExports=92.282776, SerializeBulkData=2.679333, MoveFile=4.184916, UnaccountedTime=0.359524, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=51.316868, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.044163, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=157.557358, TagPackageExports=72.743736, BeginCacheForCookedPlatformData=0.006530, SerializeImports=75.107391, GatherLocalizableTextData=48.959740, MarkNames=0.255648, SerializeSummary=0.019595, SerializeNames=0.615172, SerializeGatherableTextData=0.308830, BuildExportMap=0.666801, SortExportsNonSeekfree=12.634993, SortExportsSeekfreeConstructor=0.081796, SortExportsSeekfreeInner=93.556046, SortExportsSeekfree=0.009019, BuildDependencyMap=0.761967, SerializeImportMap=0.061270, SerializeExportMap=0.275243, SerializeDependencyMap=0.055362, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.709772, SerializeExports=93.928017, SerializeBulkData=2.663154, MoveFile=18.217888, UnaccountedTime=0.349574, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=49.887169, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.081487, BlockTillAllRequestsFinished=0.006218, ResetLoadersForSaveUnMarkAllObjects=151.052643, TagPackageExports=68.482307, BeginCacheForCookedPlatformData=0.006843, SerializeImports=72.368965, GatherLocalizableTextData=46.007347, MarkNames=0.261869, SerializeSummary=0.020526, SerializeNames=0.655293, SerializeGatherableTextData=0.297014, BuildExportMap=0.644717, SortExportsNonSeekfree=12.645256, SortExportsSeekfreeConstructor=0.083972, SortExportsSeekfreeInner=89.017517, SortExportsSeekfree=0.009641, BuildDependencyMap=0.818882, SerializeImportMap=0.060957, SerializeExportMap=0.268087, SerializeDependencyMap=0.055984, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.411622, SerializeExports=87.508507, SerializeBulkData=2.638277, MoveFile=3.909677, UnaccountedTime=0.351749, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=49.244938, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.108540, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=151.290863, TagPackageExports=65.671425, BeginCacheForCookedPlatformData=0.006843, SerializeImports=73.044479, GatherLocalizableTextData=46.291294, MarkNames=0.241652, SerializeSummary=0.020839, SerializeNames=0.635389, SerializeGatherableTextData=0.302918, BuildExportMap=0.633836, SortExportsNonSeekfree=12.641523, SortExportsSeekfreeConstructor=0.071533, SortExportsSeekfreeInner=89.921921, SortExportsSeekfree=0.008710, BuildDependencyMap=0.777520, SerializeImportMap=0.071220, SerializeExportMap=0.269644, SerializeDependencyMap=0.055671, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.148086, SerializeExports=88.967133, SerializeBulkData=2.727535, MoveFile=4.135780, UnaccountedTime=0.352059, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=53.365471, FlushAsyncLoading=0.012130, FlushStreamingFunc=0.120983, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=152.808594, TagPackageExports=66.485016, BeginCacheForCookedPlatformData=0.006843, SerializeImports=69.884949, GatherLocalizableTextData=45.915600, MarkNames=0.241030, SerializeSummary=0.020217, SerializeNames=0.650626, SerializeGatherableTextData=0.341177, BuildExportMap=0.637252, SortExportsNonSeekfree=12.600162, SortExportsSeekfreeConstructor=0.078063, SortExportsSeekfreeInner=92.628006, SortExportsSeekfree=0.009019, BuildDependencyMap=0.764456, SerializeImportMap=0.063755, SerializeExportMap=0.267155, SerializeDependencyMap=0.057537, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=138.047546, SerializeExports=91.444305, SerializeBulkData=2.600335, MoveFile=4.105922, UnaccountedTime=0.340555, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=50.061020, FlushAsyncLoading=0.006840, FlushStreamingFunc=0.055049, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=152.166046, TagPackageExports=68.465202, BeginCacheForCookedPlatformData=0.006843, SerializeImports=71.676041, GatherLocalizableTextData=45.922756, MarkNames=0.244763, SerializeSummary=0.019591, SerializeNames=0.639122, SerializeGatherableTextData=0.341486, BuildExportMap=0.632588, SortExportsNonSeekfree=12.543868, SortExportsSeekfreeConstructor=0.070911, SortExportsSeekfreeInner=91.091316, SortExportsSeekfree=0.008710, BuildDependencyMap=0.792444, SerializeImportMap=0.060335, SerializeExportMap=0.269022, SerializeDependencyMap=0.054736, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=34.191856, SerializeExports=89.525391, SerializeBulkData=2.565503, MoveFile=4.156925, UnaccountedTime=0.344597, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Levels/UEDPCOverworldLevel.umap, AutoPackageBackupDelegate=49.048065, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.103254, BlockTillAllRequestsFinished=0.013996, ResetLoadersForSaveUnMarkAllObjects=152.923340, TagPackageExports=67.916893, BeginCacheForCookedPlatformData=0.006221, SerializeImports=72.222794, GatherLocalizableTextData=46.056175, MarkNames=0.241656, SerializeSummary=0.019591, SerializeNames=0.632279, SerializeGatherableTextData=0.305410, BuildExportMap=0.638809, SortExportsNonSeekfree=12.678846, SortExportsSeekfreeConstructor=0.112582, SortExportsSeekfreeInner=93.185326, SortExportsSeekfree=0.008710, BuildDependencyMap=0.794310, SerializeImportMap=0.063758, SerializeExportMap=0.268709, SerializeDependencyMap=0.055358, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.681888, SerializeExports=88.282600, SerializeBulkData=2.524760, MoveFile=4.093792, UnaccountedTime=0.350818, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
SavePackageTransactionId44B9D2184A21CC7B316931A8E60D1714_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=49.790443, FlushAsyncLoading=0.005912, FlushStreamingFunc=0.073086, BlockTillAllRequestsFinished=0.004351, ResetLoadersForSaveUnMarkAllObjects=155.073029, TagPackageExports=73.821686, BeginCacheForCookedPlatformData=0.006534, SerializeImports=72.775452, GatherLocalizableTextData=46.827785, MarkNames=0.250671, SerializeSummary=0.019908, SerializeNames=0.620149, SerializeGatherableTextData=0.304163, BuildExportMap=0.633214, SortExportsNonSeekfree=12.579322, SortExportsSeekfreeConstructor=0.079308, SortExportsSeekfreeInner=92.277809, SortExportsSeekfree=0.008706, BuildDependencyMap=0.783119, SerializeImportMap=0.065625, SerializeExportMap=0.268087, SerializeDependencyMap=0.055049, SerializeStringAssetReferenceMap=0.002485, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.543802, SerializeExports=88.748802, SerializeBulkData=2.521027, MoveFile=4.077621, UnaccountedTime=0.381917, RunGuid=RunIDFDC9708F45967D520F9890A10A84043C
