CookerStat, GenerateAssetRegistry=0.025190, Initialize=0.139333, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=47.329201, FlushAsyncLoading=0.013996, FlushStreamingFunc=0.098281, BlockTillAllRequestsFinished=0.009019, ResetLoadersForSaveUnMarkAllObjects=0.495434, TagPackageExports=58.646786, BeginCacheForCookedPlatformData=0.006530, SerializeImports=58.853916, GatherLocalizableTextData=31.279322, MarkNames=0.175718, SerializeSummary=0.020839, SerializeNames=0.353616, SerializeGatherableTextData=0.282705, BuildExportMap=0.397470, SortExportsNonSeekfree=7.850464, SortExportsSeekfreeConstructor=0.084907, SortExportsSeekfreeInner=66.686028, SortExportsSeekfree=0.008710, BuildDependencyMap=0.319093, SerializeImportMap=0.027992, SerializeExportMap=0.203401, SerializeDependencyMap=0.043541, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.856702, SerializeExports=73.639549, SerializeBulkData=0.031721, MoveFile=4.009515, UnaccountedTime=1.915809, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.119507, FlushAsyncLoading=0.006221, FlushStreamingFunc=0.065934, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.120983, TagPackageExports=56.832985, BeginCacheForCookedPlatformData=0.007156, SerializeImports=61.544758, GatherLocalizableTextData=31.711309, MarkNames=0.188161, SerializeSummary=0.015862, SerializeNames=0.335578, SerializeGatherableTextData=0.229836, BuildExportMap=0.440076, SortExportsNonSeekfree=7.806301, SortExportsSeekfreeConstructor=0.015549, SortExportsSeekfreeInner=64.223473, SortExportsSeekfree=0.008706, BuildDependencyMap=0.316609, SerializeImportMap=0.026748, SerializeExportMap=0.205886, SerializeDependencyMap=0.040431, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=22.081882, SerializeExports=80.659309, SerializeBulkData=0.011817, MoveFile=3.953848, UnaccountedTime=1.822818, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.418385, FlushAsyncLoading=0.006221, FlushStreamingFunc=0.083040, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.107918, TagPackageExports=55.108139, BeginCacheForCookedPlatformData=0.008084, SerializeImports=61.953423, GatherLocalizableTextData=30.872215, MarkNames=0.170745, SerializeSummary=0.016171, SerializeNames=0.353303, SerializeGatherableTextData=0.229526, BuildExportMap=0.397157, SortExportsNonSeekfree=7.770226, SortExportsSeekfreeConstructor=0.017416, SortExportsSeekfreeInner=65.314796, SortExportsSeekfree=0.008401, BuildDependencyMap=0.345837, SerializeImportMap=0.025500, SerializeExportMap=0.204336, SerializeDependencyMap=0.040431, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.053130, SerializeExports=73.378616, SerializeBulkData=0.011198, MoveFile=3.976859, UnaccountedTime=1.892172, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.652264, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.055980, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.116318, TagPackageExports=56.109890, BeginCacheForCookedPlatformData=0.006843, SerializeImports=62.396297, GatherLocalizableTextData=31.390663, MarkNames=0.167321, SerializeSummary=0.016171, SerializeNames=0.343353, SerializeGatherableTextData=0.260003, BuildExportMap=0.394050, SortExportsNonSeekfree=7.855751, SortExportsSeekfreeConstructor=0.018038, SortExportsSeekfreeInner=63.506908, SortExportsSeekfree=0.009019, BuildDependencyMap=0.317849, SerializeImportMap=0.025813, SerializeExportMap=0.203401, SerializeDependencyMap=0.039499, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.794191, SerializeExports=74.589371, SerializeBulkData=0.011194, MoveFile=3.851835, UnaccountedTime=1.690641, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattleGameMode_BP.uasset, AutoPackageBackupDelegate=42.628006, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.102010, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.110719, TagPackageExports=57.635700, BeginCacheForCookedPlatformData=0.007153, SerializeImports=59.971992, GatherLocalizableTextData=30.636467, MarkNames=0.167012, SerializeSummary=0.016171, SerializeNames=0.342421, SerializeGatherableTextData=0.230145, BuildExportMap=0.422351, SortExportsNonSeekfree=7.883742, SortExportsSeekfreeConstructor=0.015236, SortExportsSeekfreeInner=64.977043, SortExportsSeekfree=0.009328, BuildDependencyMap=0.318162, SerializeImportMap=0.024881, SerializeExportMap=0.204332, SerializeDependencyMap=0.041366, SerializeStringAssetReferenceMap=0.002485, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.771486, SerializeExports=73.767998, SerializeBulkData=0.011817, MoveFile=3.907196, UnaccountedTime=1.702767, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Textures/OrbReticle/OrbReticle.uasset, AutoPackageBackupDelegate=0.117250, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.085216, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.097968, TagPackageExports=0.027992, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.784986, GatherLocalizableTextData=0.058468, MarkNames=0.004664, SerializeSummary=0.010263, SerializeNames=0.027061, SerializeGatherableTextData=0.001553, BuildExportMap=0.013996, SortExportsNonSeekfree=0.005599, SortExportsSeekfreeConstructor=0.009019, SortExportsSeekfreeInner=0.143372, SortExportsSeekfree=0.002801, BuildDependencyMap=0.006221, SerializeImportMap=0.061892, SerializeExportMap=0.006530, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.189682, SerializeExports=0.120673, SerializeBulkData=5.289935, MoveFile=2.900459, UnaccountedTime=1.517720, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/NewOrb.uasset, AutoPackageBackupDelegate=44.061127, FlushAsyncLoading=0.008088, FlushStreamingFunc=0.071220, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.246007, TagPackageExports=0.027370, BeginCacheForCookedPlatformData=0.001866, SerializeImports=0.853717, GatherLocalizableTextData=0.139020, MarkNames=0.007462, SerializeSummary=0.013065, SerializeNames=0.046961, SerializeGatherableTextData=0.001244, BuildExportMap=0.019282, SortExportsNonSeekfree=0.005599, SortExportsSeekfreeConstructor=0.056915, SortExportsSeekfreeInner=0.547372, SortExportsSeekfree=0.003111, BuildDependencyMap=0.007153, SerializeImportMap=0.006534, SerializeExportMap=0.004973, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.718507, SerializeExports=0.272755, SerializeBulkData=0.004973, MoveFile=2.604693, UnaccountedTime=0.128135, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Textures/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted.uasset, AutoPackageBackupDelegate=0.107922, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.036698, BlockTillAllRequestsFinished=0.004046, ResetLoadersForSaveUnMarkAllObjects=0.156436, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.694171, GatherLocalizableTextData=0.060335, MarkNames=0.004664, SerializeSummary=0.010885, SerializeNames=0.028923, SerializeGatherableTextData=0.001557, BuildExportMap=0.013061, SortExportsNonSeekfree=0.006843, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.135910, SortExportsSeekfree=0.002488, BuildDependencyMap=0.006221, SerializeImportMap=0.014618, SerializeExportMap=0.006221, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.510967, SerializeExports=0.164215, SerializeBulkData=13.685286, MoveFile=4.697773, UnaccountedTime=1.568727, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_0.uasset, AutoPackageBackupDelegate=43.937660, FlushAsyncLoading=0.008088, FlushStreamingFunc=0.078060, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.268400, TagPackageExports=0.027370, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.769746, GatherLocalizableTextData=0.139952, MarkNames=0.007156, SerializeSummary=0.011194, SerializeNames=0.048518, SerializeGatherableTextData=0.001553, BuildExportMap=0.019595, SortExportsNonSeekfree=0.006843, SortExportsSeekfreeConstructor=0.058778, SortExportsSeekfreeInner=0.540532, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006843, SerializeImportMap=0.006840, SerializeExportMap=0.005290, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.100221, SerializeExports=0.239164, SerializeBulkData=0.004668, MoveFile=2.544977, UnaccountedTime=0.130624, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_1.uasset, AutoPackageBackupDelegate=43.814190, FlushAsyncLoading=0.007775, FlushStreamingFunc=0.065625, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.285193, TagPackageExports=0.050694, BeginCacheForCookedPlatformData=0.001866, SerializeImports=0.772234, GatherLocalizableTextData=0.143372, MarkNames=0.008401, SerializeSummary=0.012126, SerializeNames=0.048831, SerializeGatherableTextData=0.001244, BuildExportMap=0.019591, SortExportsNonSeekfree=0.006843, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.525605, SortExportsSeekfree=0.003420, BuildDependencyMap=0.006843, SerializeImportMap=0.006843, SerializeExportMap=0.004973, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.846752, SerializeExports=0.238854, SerializeBulkData=0.004664, MoveFile=2.561152, UnaccountedTime=0.130314, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
SavePackageTransactionIdF196A9EF463641B9F5ADD691CA349F3B_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default_Highlighted/Soul_Orb_Highlighted_Sprite_10.uasset, AutoPackageBackupDelegate=44.056465, FlushAsyncLoading=0.008710, FlushStreamingFunc=0.092681, BlockTillAllRequestsFinished=0.006840, ResetLoadersForSaveUnMarkAllObjects=0.302613, TagPackageExports=0.027057, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.927735, GatherLocalizableTextData=0.140265, MarkNames=0.008088, SerializeSummary=0.011194, SerializeNames=0.053495, SerializeGatherableTextData=0.001244, BuildExportMap=0.020213, SortExportsNonSeekfree=0.006534, SortExportsSeekfreeConstructor=0.008084, SortExportsSeekfreeInner=0.530891, SortExportsSeekfree=0.003733, BuildDependencyMap=0.006843, SerializeImportMap=0.006530, SerializeExportMap=0.004977, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.805695, SerializeExports=0.226103, SerializeBulkData=0.004668, MoveFile=2.535336, UnaccountedTime=0.171989, RunGuid=RunID029675714C8975D14E81AFBCA45A1DC8
