CookerStat, GenerateAssetRegistry=0.024259, Initialize=0.139952, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=45.999641, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.090811, BlockTillAllRequestsFinished=0.008088, ResetLoadersForSaveUnMarkAllObjects=72.099129, TagPackageExports=9.699408, BeginCacheForCookedPlatformData=0.004664, SerializeImports=12.054983, GatherLocalizableTextData=13.552174, MarkNames=0.097036, SerializeSummary=0.021148, SerializeNames=0.536490, SerializeGatherableTextData=0.079926, BuildExportMap=0.389695, SortExportsNonSeekfree=1.655497, SortExportsSeekfreeConstructor=0.073709, SortExportsSeekfreeInner=25.559570, SortExportsSeekfree=0.006843, BuildDependencyMap=0.325628, SerializeImportMap=0.049140, SerializeExportMap=0.065930, SerializeDependencyMap=0.030790, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.975834, SerializeExports=15.556310, SerializeBulkData=0.029858, MoveFile=3.213961, UnaccountedTime=0.232011, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=47.680019, FlushAsyncLoading=0.010885, FlushStreamingFunc=0.083350, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.164833, TagPackageExports=14.201250, BeginCacheForCookedPlatformData=0.005599, SerializeImports=16.582638, GatherLocalizableTextData=10.597288, MarkNames=0.101075, SerializeSummary=0.017107, SerializeNames=0.380673, SerializeGatherableTextData=0.091750, BuildExportMap=0.229523, SortExportsNonSeekfree=2.311721, SortExportsSeekfreeConstructor=0.067178, SortExportsSeekfreeInner=18.033489, SortExportsSeekfree=0.008088, BuildDependencyMap=0.131246, SerializeImportMap=0.019595, SerializeExportMap=0.092369, SerializeDependencyMap=0.018969, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.988273, SerializeExports=21.209505, SerializeBulkData=0.010263, MoveFile=3.300726, UnaccountedTime=1.883157, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=46.144573, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.053495, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.163279, TagPackageExports=14.374170, BeginCacheForCookedPlatformData=0.007462, SerializeImports=17.277122, GatherLocalizableTextData=10.619056, MarkNames=0.087082, SerializeSummary=0.014931, SerializeNames=0.355169, SerializeGatherableTextData=0.084285, BuildExportMap=0.235744, SortExportsNonSeekfree=2.337847, SortExportsSeekfreeConstructor=0.011817, SortExportsSeekfreeInner=16.950563, SortExportsSeekfree=0.006218, BuildDependencyMap=0.132181, SerializeImportMap=0.019591, SerializeExportMap=0.093617, SerializeDependencyMap=0.018973, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.866981, SerializeExports=22.572651, SerializeBulkData=0.011507, MoveFile=3.462762, UnaccountedTime=1.628127, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=46.243473, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.117872, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.105742, TagPackageExports=15.785526, BeginCacheForCookedPlatformData=0.005595, SerializeImports=17.924950, GatherLocalizableTextData=11.236410, MarkNames=0.100143, SerializeSummary=0.017729, SerializeNames=0.351436, SerializeGatherableTextData=0.111341, BuildExportMap=0.219572, SortExportsNonSeekfree=2.482153, SortExportsSeekfreeConstructor=0.065312, SortExportsSeekfreeInner=19.317024, SortExportsSeekfree=0.007775, BuildDependencyMap=0.141818, SerializeImportMap=0.020836, SerializeExportMap=0.144619, SerializeDependencyMap=0.020526, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.998227, SerializeExports=24.337002, SerializeBulkData=0.011507, MoveFile=3.389679, UnaccountedTime=1.652695, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=46.765968, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.097968, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.114452, TagPackageExports=18.039711, BeginCacheForCookedPlatformData=0.006530, SerializeImports=18.738235, GatherLocalizableTextData=12.140818, MarkNames=0.102013, SerializeSummary=0.015859, SerializeNames=0.373524, SerializeGatherableTextData=0.220813, BuildExportMap=0.229526, SortExportsNonSeekfree=2.648231, SortExportsSeekfreeConstructor=0.068735, SortExportsSeekfreeInner=21.107803, SortExportsSeekfree=0.008088, BuildDependencyMap=0.147417, SerializeImportMap=0.041366, SerializeExportMap=0.102010, SerializeDependencyMap=0.021461, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.206601, SerializeExports=27.079157, SerializeBulkData=0.012130, MoveFile=3.726810, UnaccountedTime=1.787052, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.726887, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.088640, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=0.107609, TagPackageExports=17.597769, BeginCacheForCookedPlatformData=0.005286, SerializeImports=20.498541, GatherLocalizableTextData=12.330536, MarkNames=0.103876, SerializeSummary=0.016484, SerializeNames=0.367612, SerializeGatherableTextData=0.120360, BuildExportMap=0.224859, SortExportsNonSeekfree=2.631128, SortExportsSeekfreeConstructor=0.066243, SortExportsSeekfreeInner=20.265285, SortExportsSeekfree=0.008088, BuildDependencyMap=0.149906, SerializeImportMap=0.020213, SerializeExportMap=0.099525, SerializeDependencyMap=0.019904, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.220597, SerializeExports=26.223577, SerializeBulkData=0.010885, MoveFile=3.614847, UnaccountedTime=1.700591, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=47.841125, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.082728, BlockTillAllRequestsFinished=0.008710, ResetLoadersForSaveUnMarkAllObjects=86.068672, TagPackageExports=13.682179, BeginCacheForCookedPlatformData=0.006218, SerializeImports=14.535583, GatherLocalizableTextData=14.002513, MarkNames=0.104811, SerializeSummary=0.018973, SerializeNames=0.521872, SerializeGatherableTextData=0.086147, BuildExportMap=0.379428, SortExportsNonSeekfree=1.652077, SortExportsSeekfreeConstructor=0.065312, SortExportsSeekfreeInner=25.455385, SortExportsSeekfree=0.006843, BuildDependencyMap=0.184737, SerializeImportMap=0.039496, SerializeExportMap=0.065625, SerializeDependencyMap=0.016484, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.973033, SerializeExports=14.750801, SerializeBulkData=0.007465, MoveFile=3.434773, UnaccountedTime=1.820330, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=47.267002, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.074018, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.103567, TagPackageExports=17.275560, BeginCacheForCookedPlatformData=0.005290, SerializeImports=19.578266, GatherLocalizableTextData=12.132734, MarkNames=0.096101, SerializeSummary=0.015549, SerializeNames=0.345841, SerializeGatherableTextData=0.125337, BuildExportMap=0.223301, SortExportsNonSeekfree=2.748068, SortExportsSeekfreeConstructor=0.012439, SortExportsSeekfreeInner=20.236671, SortExportsSeekfree=0.007156, BuildDependencyMap=0.149284, SerializeImportMap=0.020217, SerializeExportMap=0.099521, SerializeDependencyMap=0.021461, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.092462, SerializeExports=25.818020, SerializeBulkData=0.010572, MoveFile=3.821045, UnaccountedTime=1.676023, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=46.402397, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.098899, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.120983, TagPackageExports=16.890846, BeginCacheForCookedPlatformData=0.005912, SerializeImports=18.996677, GatherLocalizableTextData=11.828880, MarkNames=0.102945, SerializeSummary=0.016171, SerializeNames=0.391249, SerializeGatherableTextData=0.122849, BuildExportMap=0.222992, SortExportsNonSeekfree=2.752419, SortExportsSeekfreeConstructor=0.066247, SortExportsSeekfreeInner=20.317532, SortExportsSeekfree=0.007465, BuildDependencyMap=0.148039, SerializeImportMap=0.020213, SerializeExportMap=0.098281, SerializeDependencyMap=0.020526, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.093393, SerializeExports=26.766285, SerializeBulkData=0.011198, MoveFile=3.699750, UnaccountedTime=1.686599, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=66.850555, FlushAsyncLoading=0.011507, FlushStreamingFunc=0.066556, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.134043, TagPackageExports=18.337965, BeginCacheForCookedPlatformData=0.004977, SerializeImports=20.220808, GatherLocalizableTextData=12.866091, MarkNames=0.105433, SerializeSummary=0.014927, SerializeNames=0.374455, SerializeGatherableTextData=0.128757, BuildExportMap=0.235122, SortExportsNonSeekfree=2.896108, SortExportsSeekfreeConstructor=0.071842, SortExportsSeekfreeInner=21.620966, SortExportsSeekfree=0.007153, BuildDependencyMap=0.149909, SerializeImportMap=0.027370, SerializeExportMap=0.118803, SerializeDependencyMap=0.020839, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.202559, SerializeExports=30.042753, SerializeBulkData=0.012442, MoveFile=4.425023, UnaccountedTime=2.047367, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
SavePackageTransactionId5B79E9B0445D7642E8836182C96CFA77_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=45.590042, FlushAsyncLoading=0.005290, FlushStreamingFunc=0.080239, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.103876, TagPackageExports=21.197062, BeginCacheForCookedPlatformData=0.006221, SerializeImports=23.387182, GatherLocalizableTextData=13.874691, MarkNames=0.105429, SerializeSummary=0.016175, SerializeNames=0.358280, SerializeGatherableTextData=0.138089, BuildExportMap=0.245072, SortExportsNonSeekfree=3.520303, SortExportsSeekfreeConstructor=0.066243, SortExportsSeekfreeInner=24.780188, SortExportsSeekfree=0.007775, BuildDependencyMap=0.160791, SerializeImportMap=0.019282, SerializeExportMap=0.111029, SerializeDependencyMap=0.022702, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.371751, SerializeExports=30.694626, SerializeBulkData=0.010885, MoveFile=3.834728, UnaccountedTime=2.501439, RunGuid=RunIDD74B619949FB78D38CC3A58100F603BC
