CookerStat, GenerateAssetRegistry=0.031725, Initialize=0.143372, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/CursorWidget_BP.uasset, AutoPackageBackupDelegate=51.168911, FlushAsyncLoading=0.010885, FlushStreamingFunc=0.106364, BlockTillAllRequestsFinished=0.007153, ResetLoadersForSaveUnMarkAllObjects=0.145242, TagPackageExports=10.867242, BeginCacheForCookedPlatformData=0.003733, SerializeImports=12.685396, GatherLocalizableTextData=7.675368, MarkNames=0.072151, SerializeSummary=0.017416, SerializeNames=0.328738, SerializeGatherableTextData=0.098277, BuildExportMap=0.220194, SortExportsNonSeekfree=1.414463, SortExportsSeekfreeConstructor=0.066556, SortExportsSeekfreeInner=12.439079, SortExportsSeekfree=0.007153, BuildDependencyMap=0.106677, SerializeImportMap=0.025503, SerializeExportMap=0.060957, SerializeDependencyMap=0.011507, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.327071, SerializeExports=15.113436, SerializeBulkData=0.022706, MoveFile=3.228262, UnaccountedTime=1.810688, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/CursorWidget_BP.uasset, AutoPackageBackupDelegate=47.384251, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.133734, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.121914, TagPackageExports=10.985114, BeginCacheForCookedPlatformData=0.004977, SerializeImports=13.405688, GatherLocalizableTextData=8.224919, MarkNames=0.071533, SerializeSummary=0.015240, SerializeNames=0.397157, SerializeGatherableTextData=0.092991, BuildExportMap=0.246629, SortExportsNonSeekfree=1.535445, SortExportsSeekfreeConstructor=0.061892, SortExportsSeekfreeInner=13.423417, SortExportsSeekfree=0.006221, BuildDependencyMap=0.100456, SerializeImportMap=0.024568, SerializeExportMap=0.065312, SerializeDependencyMap=0.011507, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.463603, SerializeExports=16.503952, SerializeBulkData=0.009019, MoveFile=3.802698, UnaccountedTime=1.942866, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/CursorWidget_BP.uasset, AutoPackageBackupDelegate=49.228531, FlushAsyncLoading=0.005286, FlushStreamingFunc=0.096101, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.102632, TagPackageExports=10.965523, BeginCacheForCookedPlatformData=0.004664, SerializeImports=12.126825, GatherLocalizableTextData=7.852018, MarkNames=0.070289, SerializeSummary=0.014305, SerializeNames=0.309456, SerializeGatherableTextData=0.092991, BuildExportMap=0.220194, SortExportsNonSeekfree=1.441211, SortExportsSeekfreeConstructor=0.064690, SortExportsSeekfreeInner=12.519628, SortExportsSeekfree=0.005908, BuildDependencyMap=0.093926, SerializeImportMap=0.022393, SerializeExportMap=0.062823, SerializeDependencyMap=0.011198, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.325514, SerializeExports=15.372507, SerializeBulkData=0.006840, MoveFile=3.315035, UnaccountedTime=1.806337, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/BattlePlayerController_BP.uasset, AutoPackageBackupDelegate=51.772884, FlushAsyncLoading=0.010576, FlushStreamingFunc=0.054736, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.125334, TagPackageExports=13.856031, BeginCacheForCookedPlatformData=0.004351, SerializeImports=15.234418, GatherLocalizableTextData=9.419191, MarkNames=0.081792, SerializeSummary=0.016175, SerializeNames=0.310075, SerializeGatherableTextData=0.114761, BuildExportMap=0.260934, SortExportsNonSeekfree=2.007868, SortExportsSeekfreeConstructor=0.102635, SortExportsSeekfreeInner=18.830914, SortExportsSeekfree=0.006530, BuildDependencyMap=0.117559, SerializeImportMap=0.022702, SerializeExportMap=0.071220, SerializeDependencyMap=0.013061, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.743823, SerializeExports=19.364294, SerializeBulkData=0.009332, MoveFile=3.282070, UnaccountedTime=1.859825, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/CursorWidget_BP.uasset, AutoPackageBackupDelegate=48.729671, FlushAsyncLoading=0.009954, FlushStreamingFunc=0.119425, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.135601, TagPackageExports=11.167675, BeginCacheForCookedPlatformData=0.004355, SerializeImports=13.507702, GatherLocalizableTextData=8.634206, MarkNames=0.071842, SerializeSummary=0.017107, SerializeNames=0.327490, SerializeGatherableTextData=0.092991, BuildExportMap=0.226725, SortExportsNonSeekfree=1.749110, SortExportsSeekfreeConstructor=0.063758, SortExportsSeekfreeInner=13.464779, SortExportsSeekfree=0.005599, BuildDependencyMap=0.098281, SerializeImportMap=0.022702, SerializeExportMap=0.064068, SerializeDependencyMap=0.012442, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.374032, SerializeExports=15.685066, SerializeBulkData=0.007465, MoveFile=3.315657, UnaccountedTime=1.638703, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=51.372620, FlushAsyncLoading=0.012752, FlushStreamingFunc=0.101388, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.153016, TagPackageExports=45.676193, BeginCacheForCookedPlatformData=0.006843, SerializeImports=48.121029, GatherLocalizableTextData=27.147892, MarkNames=2.406269, SerializeSummary=0.031725, SerializeNames=0.638809, SerializeGatherableTextData=0.432923, BuildExportMap=0.458427, SortExportsNonSeekfree=6.890069, SortExportsSeekfreeConstructor=0.085838, SortExportsSeekfreeInner=50.094376, SortExportsSeekfree=0.008706, BuildDependencyMap=0.289861, SerializeImportMap=0.023637, SerializeExportMap=0.201531, SerializeDependencyMap=0.038564, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.382726, SerializeExports=61.679737, SerializeBulkData=0.010885, MoveFile=3.684823, UnaccountedTime=1.655810, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer.uasset, AutoPackageBackupDelegate=47.912342, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.116318, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.124089, TagPackageExports=45.505138, BeginCacheForCookedPlatformData=0.006534, SerializeImports=49.879154, GatherLocalizableTextData=28.354605, MarkNames=1.799181, SerializeSummary=0.020836, SerializeNames=0.859316, SerializeGatherableTextData=0.247873, BuildExportMap=0.381295, SortExportsNonSeekfree=7.070147, SortExportsSeekfreeConstructor=0.077754, SortExportsSeekfreeInner=51.314457, SortExportsSeekfree=0.007775, BuildDependencyMap=0.309765, SerializeImportMap=0.023946, SerializeExportMap=0.200599, SerializeDependencyMap=0.038564, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.430931, SerializeExports=63.515305, SerializeBulkData=0.010885, MoveFile=3.620755, UnaccountedTime=0.275865, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=50.309593, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.059713, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=76.820847, TagPackageExports=10.189555, BeginCacheForCookedPlatformData=0.004977, SerializeImports=11.901032, GatherLocalizableTextData=13.879355, MarkNames=0.099834, SerializeSummary=0.018351, SerializeNames=0.534933, SerializeGatherableTextData=0.083350, BuildExportMap=0.482373, SortExportsNonSeekfree=1.938514, SortExportsSeekfreeConstructor=0.066556, SortExportsSeekfreeInner=26.901882, SortExportsSeekfree=0.006843, BuildDependencyMap=2.062604, SerializeImportMap=0.081483, SerializeExportMap=0.069045, SerializeDependencyMap=0.034519, SerializeStringAssetReferenceMap=0.006221, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.664406, SerializeExports=16.127012, SerializeBulkData=3.180057, MoveFile=3.061872, UnaccountedTime=1.498438, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
SavePackageTransactionId78FAE1E94A079EFE261DAFA77C4A9D21_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/CursorWidget_BP.uasset, AutoPackageBackupDelegate=49.835926, FlushAsyncLoading=0.011198, FlushStreamingFunc=0.107918, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.131555, TagPackageExports=10.200444, BeginCacheForCookedPlatformData=0.003420, SerializeImports=12.617908, GatherLocalizableTextData=8.132860, MarkNames=0.068732, SerializeSummary=0.015240, SerializeNames=0.330288, SerializeGatherableTextData=0.092681, BuildExportMap=0.226103, SortExportsNonSeekfree=1.445878, SortExportsSeekfreeConstructor=0.060022, SortExportsSeekfreeInner=12.906522, SortExportsSeekfree=0.005599, BuildDependencyMap=0.095170, SerializeImportMap=0.023946, SerializeExportMap=0.060026, SerializeDependencyMap=0.011194, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.318675, SerializeExports=15.303772, SerializeBulkData=0.008088, MoveFile=3.164198, UnaccountedTime=1.580853, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
DDCTransactionId6DE3924342BF1441E0A96F9A0CDD8E16_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E675171347AE3A71A087CFADAB94D375_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.07.27-18.56.22, Duration=4.880339, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
DDCTransactionId6CDC3B9B41BE9D4611209AB9A384D7D9_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E675171347AE3A71A087CFADAB94D__50C8299A4FA1D774186295966D8B2FF20A80FC50, StartTime=2016.07.27-18.56.22, HierarchicalDDC=, DataSize=5494, Duration=3.071826, RunGuid=RunID2743EF4944F2C98B8C991B860CECE6D1
