CookerStat, GenerateAssetRegistry=0.041366, Initialize=2.720386, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=87.114876, FlushAsyncLoading=0.014618, FlushStreamingFunc=0.063445, BlockTillAllRequestsFinished=0.009019, ResetLoadersForSaveUnMarkAllObjects=0.152081, TagPackageExports=86.453369, BeginCacheForCookedPlatformData=0.006840, SerializeImports=94.547348, GatherLocalizableTextData=50.027493, MarkNames=0.296082, SerializeSummary=0.024568, SerializeNames=0.498857, SerializeGatherableTextData=0.390004, BuildExportMap=0.566032, SortExportsNonSeekfree=13.641119, SortExportsSeekfreeConstructor=0.105124, SortExportsSeekfreeInner=90.686493, SortExportsSeekfree=0.010263, BuildDependencyMap=2.246723, SerializeImportMap=0.030480, SerializeExportMap=0.335578, SerializeDependencyMap=0.096101, SerializeStringAssetReferenceMap=0.004355, SaveThumbNailsAssetRegistryDataWorldLevelInfo=19.005384, SerializeExports=113.158997, SerializeBulkData=0.031099, MoveFile=19.015335, UnaccountedTime=3.480490, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=47.227798, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.055671, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.119738, TagPackageExports=86.184029, BeginCacheForCookedPlatformData=0.007153, SerializeImports=92.286011, GatherLocalizableTextData=48.884228, MarkNames=0.270266, SerializeSummary=0.017107, SerializeNames=0.477705, SerializeGatherableTextData=0.394672, BuildExportMap=0.536177, SortExportsNonSeekfree=13.835188, SortExportsSeekfreeConstructor=0.086460, SortExportsSeekfreeInner=91.274300, SortExportsSeekfree=0.008397, BuildDependencyMap=2.211887, SerializeImportMap=0.032034, SerializeExportMap=0.428259, SerializeDependencyMap=0.065934, SerializeStringAssetReferenceMap=0.003111, SaveThumbNailsAssetRegistryDataWorldLevelInfo=24.689674, SerializeExports=114.456520, SerializeBulkData=0.012130, MoveFile=4.679736, UnaccountedTime=1.873825, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=65.701981, FlushAsyncLoading=0.010885, FlushStreamingFunc=0.051316, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=81.606308, TagPackageExports=10.454223, BeginCacheForCookedPlatformData=0.006840, SerializeImports=12.336444, GatherLocalizableTextData=16.763327, MarkNames=0.118494, SerializeSummary=0.019282, SerializeNames=0.556394, SerializeGatherableTextData=0.089258, BuildExportMap=0.418618, SortExportsNonSeekfree=1.738533, SortExportsSeekfreeConstructor=0.072777, SortExportsSeekfreeInner=30.941866, SortExportsSeekfree=0.008397, BuildDependencyMap=0.208065, SerializeImportMap=0.087392, SerializeExportMap=0.068422, SerializeDependencyMap=0.012752, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.068825, SerializeExports=15.776500, SerializeBulkData=3.086131, MoveFile=3.076490, UnaccountedTime=1.823131, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=45.930897, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.110719, BlockTillAllRequestsFinished=0.005908, ResetLoadersForSaveUnMarkAllObjects=0.138707, TagPackageExports=85.877686, BeginCacheForCookedPlatformData=0.007156, SerializeImports=90.410004, GatherLocalizableTextData=50.503651, MarkNames=0.275239, SerializeSummary=0.017419, SerializeNames=0.478018, SerializeGatherableTextData=0.401199, BuildExportMap=0.523739, SortExportsNonSeekfree=13.223123, SortExportsSeekfreeConstructor=0.082418, SortExportsSeekfreeInner=90.290894, SortExportsSeekfree=0.008706, BuildDependencyMap=2.343759, SerializeImportMap=0.027370, SerializeExportMap=0.335578, SerializeDependencyMap=0.065621, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.660950, SerializeExports=114.297279, SerializeBulkData=0.010885, MoveFile=4.563417, UnaccountedTime=1.834948, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=44.982635, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.106987, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=0.125337, TagPackageExports=84.663200, BeginCacheForCookedPlatformData=0.006843, SerializeImports=93.106133, GatherLocalizableTextData=50.289673, MarkNames=0.295769, SerializeSummary=0.017416, SerializeNames=0.483930, SerializeGatherableTextData=0.385027, BuildExportMap=0.528090, SortExportsNonSeekfree=13.031542, SortExportsSeekfreeConstructor=0.084598, SortExportsSeekfreeInner=92.648331, SortExportsSeekfree=0.008706, BuildDependencyMap=2.030261, SerializeImportMap=0.026748, SerializeExportMap=0.333712, SerializeDependencyMap=0.065312, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.031156, SerializeExports=110.968254, SerializeBulkData=0.010885, MoveFile=4.639927, UnaccountedTime=1.819707, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=46.730808, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.081174, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.108231, TagPackageExports=85.109505, BeginCacheForCookedPlatformData=0.006530, SerializeImports=92.572449, GatherLocalizableTextData=50.409096, MarkNames=0.271510, SerializeSummary=0.017107, SerializeNames=0.510987, SerializeGatherableTextData=0.426080, BuildExportMap=0.556704, SortExportsNonSeekfree=13.090946, SortExportsSeekfreeConstructor=0.073709, SortExportsSeekfreeInner=92.595146, SortExportsSeekfree=0.008401, BuildDependencyMap=2.396002, SerializeImportMap=0.026435, SerializeExportMap=0.352371, SerializeDependencyMap=0.075262, SerializeStringAssetReferenceMap=0.004046, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.031669, SerializeExports=111.197472, SerializeBulkData=0.011198, MoveFile=4.724834, UnaccountedTime=0.389382, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=45.061321, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.099212, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.127513, TagPackageExports=84.867226, BeginCacheForCookedPlatformData=0.006843, SerializeImports=92.052750, GatherLocalizableTextData=49.132725, MarkNames=0.265289, SerializeSummary=0.016484, SerializeNames=0.484552, SerializeGatherableTextData=0.366677, BuildExportMap=0.526227, SortExportsNonSeekfree=12.841516, SortExportsSeekfreeConstructor=0.018973, SortExportsSeekfreeInner=86.375923, SortExportsSeekfree=0.008397, BuildDependencyMap=2.470955, SerializeImportMap=0.026435, SerializeExportMap=0.356726, SerializeDependencyMap=0.086460, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.974241, SerializeExports=107.865021, SerializeBulkData=0.011817, MoveFile=4.569952, UnaccountedTime=0.420794, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=45.617088, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.095792, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=77.238510, TagPackageExports=10.662910, BeginCacheForCookedPlatformData=0.006530, SerializeImports=11.978470, GatherLocalizableTextData=14.324091, MarkNames=0.116006, SerializeSummary=0.023015, SerializeNames=0.567902, SerializeGatherableTextData=0.085216, BuildExportMap=0.418305, SortExportsNonSeekfree=1.713343, SortExportsSeekfreeConstructor=0.066247, SortExportsSeekfreeInner=30.538801, SortExportsSeekfree=0.008088, BuildDependencyMap=2.857849, SerializeImportMap=0.055984, SerializeExportMap=0.066556, SerializeDependencyMap=0.018038, SerializeStringAssetReferenceMap=0.003424, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.430838, SerializeExports=15.184961, SerializeBulkData=2.474379, MoveFile=3.199335, UnaccountedTime=1.503725, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=49.492249, FlushAsyncLoading=0.015240, FlushStreamingFunc=0.076506, BlockTillAllRequestsFinished=0.005912, ResetLoadersForSaveUnMarkAllObjects=0.136532, TagPackageExports=86.453674, BeginCacheForCookedPlatformData=0.007462, SerializeImports=92.825920, GatherLocalizableTextData=49.180618, MarkNames=0.271197, SerializeSummary=0.017416, SerializeNames=0.477400, SerializeGatherableTextData=0.382539, BuildExportMap=0.538975, SortExportsNonSeekfree=12.946639, SortExportsSeekfreeConstructor=0.023637, SortExportsSeekfreeInner=89.085739, SortExportsSeekfree=0.008397, BuildDependencyMap=2.995629, SerializeImportMap=0.027061, SerializeExportMap=0.338376, SerializeDependencyMap=0.066552, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.602587, SerializeExports=110.364594, SerializeBulkData=0.011194, MoveFile=4.420668, UnaccountedTime=0.409909, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/MeleeDrawer_BP.uasset, AutoPackageBackupDelegate=45.452877, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.114765, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=0.114765, TagPackageExports=83.709656, BeginCacheForCookedPlatformData=0.006843, SerializeImports=91.640350, GatherLocalizableTextData=49.398014, MarkNames=0.300746, SerializeSummary=0.017729, SerializeNames=0.511605, SerializeGatherableTextData=0.376631, BuildExportMap=0.526227, SortExportsNonSeekfree=13.332598, SortExportsSeekfreeConstructor=0.107922, SortExportsSeekfreeInner=89.587082, SortExportsSeekfree=0.008397, BuildDependencyMap=2.585098, SerializeImportMap=0.026438, SerializeExportMap=0.334021, SerializeDependencyMap=0.066556, SerializeStringAssetReferenceMap=0.003420, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.954028, SerializeExports=112.234680, SerializeBulkData=0.011507, MoveFile=4.665431, UnaccountedTime=1.712721, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
SavePackageTransactionIdDA697B9B4671E8DE92B07384DA48D632_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=45.062565, FlushAsyncLoading=0.009328, FlushStreamingFunc=0.067800, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=78.792305, TagPackageExports=10.192353, BeginCacheForCookedPlatformData=0.004977, SerializeImports=12.137085, GatherLocalizableTextData=14.224879, MarkNames=0.117872, SerializeSummary=0.018660, SerializeNames=0.600245, SerializeGatherableTextData=0.087705, BuildExportMap=0.423595, SortExportsNonSeekfree=1.815040, SortExportsSeekfreeConstructor=0.066556, SortExportsSeekfreeInner=30.050520, SortExportsSeekfree=0.007778, BuildDependencyMap=0.880774, SerializeImportMap=0.060957, SerializeExportMap=0.068113, SerializeDependencyMap=0.014305, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.039589, SerializeExports=15.485707, SerializeBulkData=2.666581, MoveFile=2.939336, UnaccountedTime=1.493458, RunGuid=RunIDBD26A73840258095964A4089D14E83AD
