CookerStat, GenerateAssetRegistry=0.031412, Initialize=0.145551, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_0.uasset, AutoPackageBackupDelegate=0.139333, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.056915, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.106364, TagPackageExports=0.028923, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.816084, GatherLocalizableTextData=0.168879, MarkNames=0.009328, SerializeSummary=0.014618, SerializeNames=0.052560, SerializeGatherableTextData=0.001866, BuildExportMap=0.022393, SortExportsNonSeekfree=0.007465, SortExportsSeekfreeConstructor=0.066243, SortExportsSeekfreeInner=0.565723, SortExportsSeekfree=0.004664, BuildDependencyMap=0.011820, SerializeImportMap=0.009332, SerializeExportMap=0.005908, SerializeDependencyMap=0.001557, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.027956, SerializeExports=0.230458, SerializeBulkData=0.014618, MoveFile=2.683066, UnaccountedTime=1.678199, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_1.uasset, AutoPackageBackupDelegate=0.106364, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.056602, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.089571, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.770055, GatherLocalizableTextData=0.142444, MarkNames=0.007462, SerializeSummary=0.011507, SerializeNames=0.047896, SerializeGatherableTextData=0.001553, BuildExportMap=0.019908, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008084, SortExportsSeekfreeInner=0.604290, SortExportsSeekfree=0.004042, BuildDependencyMap=0.007775, SerializeImportMap=0.006840, SerializeExportMap=0.005290, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.413918, SerializeExports=0.248183, SerializeBulkData=0.004668, MoveFile=2.874956, UnaccountedTime=1.785185, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_2.uasset, AutoPackageBackupDelegate=0.128757, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.060648, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=0.093300, TagPackageExports=0.028923, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.992116, GatherLocalizableTextData=0.145238, MarkNames=0.007465, SerializeSummary=0.011194, SerializeNames=0.054426, SerializeGatherableTextData=0.001244, BuildExportMap=0.020526, SortExportsNonSeekfree=0.005912, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.572875, SortExportsSeekfree=0.003111, BuildDependencyMap=0.007153, SerializeImportMap=0.009954, SerializeExportMap=0.005599, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.135564, SerializeExports=0.219885, SerializeBulkData=0.004973, MoveFile=2.686795, UnaccountedTime=1.802605, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_3.uasset, AutoPackageBackupDelegate=0.122849, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.057846, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.097968, TagPackageExports=0.028923, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.868958, GatherLocalizableTextData=0.143684, MarkNames=0.007153, SerializeSummary=0.010885, SerializeNames=0.047587, SerializeGatherableTextData=0.001241, BuildExportMap=0.020217, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.586562, SortExportsSeekfree=0.003420, BuildDependencyMap=0.006843, SerializeImportMap=0.006843, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.593369, SerializeExports=0.233255, SerializeBulkData=0.004977, MoveFile=2.655696, UnaccountedTime=1.643054, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_4.uasset, AutoPackageBackupDelegate=0.105742, FlushAsyncLoading=0.003424, FlushStreamingFunc=0.036698, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.094239, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.750460, GatherLocalizableTextData=0.142444, MarkNames=0.007153, SerializeSummary=0.010885, SerializeNames=0.046652, SerializeGatherableTextData=0.000931, BuildExportMap=0.019282, SortExportsNonSeekfree=0.005912, SortExportsSeekfreeConstructor=0.008397, SortExportsSeekfreeInner=0.563543, SortExportsSeekfree=0.003424, BuildDependencyMap=0.006840, SerializeImportMap=0.006221, SerializeExportMap=0.005286, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.673917, SerializeExports=0.225794, SerializeBulkData=0.004664, MoveFile=2.633616, UnaccountedTime=1.954373, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_5.uasset, AutoPackageBackupDelegate=0.115696, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.058468, BlockTillAllRequestsFinished=0.004046, ResetLoadersForSaveUnMarkAllObjects=0.096101, TagPackageExports=0.030171, BeginCacheForCookedPlatformData=0.001241, SerializeImports=0.826038, GatherLocalizableTextData=0.140578, MarkNames=0.007153, SerializeSummary=0.012439, SerializeNames=0.047583, SerializeGatherableTextData=0.001557, BuildExportMap=0.019904, SortExportsNonSeekfree=0.005599, SortExportsSeekfreeConstructor=0.008084, SortExportsSeekfreeInner=0.568211, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006843, SerializeImportMap=0.006530, SerializeExportMap=0.004977, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.463990, SerializeExports=0.213042, SerializeBulkData=0.004664, MoveFile=2.766728, UnaccountedTime=1.609463, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_6.uasset, AutoPackageBackupDelegate=0.113521, FlushAsyncLoading=0.003729, FlushStreamingFunc=0.054117, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=0.092369, TagPackageExports=0.028301, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.717185, GatherLocalizableTextData=0.142127, MarkNames=0.007156, SerializeSummary=0.010572, SerializeNames=0.046652, SerializeGatherableTextData=0.001553, BuildExportMap=0.019282, SortExportsNonSeekfree=0.005912, SortExportsSeekfreeConstructor=0.010572, SortExportsSeekfreeInner=0.566036, SortExportsSeekfree=0.003111, BuildDependencyMap=0.006530, SerializeImportMap=0.006530, SerializeExportMap=0.004977, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.694757, SerializeExports=0.232320, SerializeBulkData=0.004977, MoveFile=2.596919, UnaccountedTime=1.832455, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_7.uasset, AutoPackageBackupDelegate=0.113826, FlushAsyncLoading=0.004046, FlushStreamingFunc=0.044473, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.090506, TagPackageExports=0.028614, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.807065, GatherLocalizableTextData=0.150841, MarkNames=0.007775, SerializeSummary=0.010885, SerializeNames=0.047583, SerializeGatherableTextData=0.001553, BuildExportMap=0.019282, SortExportsNonSeekfree=0.005912, SortExportsSeekfreeConstructor=0.008084, SortExportsSeekfreeInner=0.567280, SortExportsSeekfree=0.003111, BuildDependencyMap=0.007153, SerializeImportMap=0.006530, SerializeExportMap=0.004977, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.640952, SerializeExports=0.253472, SerializeBulkData=0.004977, MoveFile=2.552442, UnaccountedTime=1.824681, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_8.uasset, AutoPackageBackupDelegate=0.114448, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.057537, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.089262, TagPackageExports=0.029236, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.849053, GatherLocalizableTextData=0.143062, MarkNames=0.007153, SerializeSummary=0.011198, SerializeNames=0.047270, SerializeGatherableTextData=0.000935, BuildExportMap=0.019595, SortExportsNonSeekfree=0.007462, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.628237, SortExportsSeekfree=0.003420, BuildDependencyMap=0.007156, SerializeImportMap=0.006530, SerializeExportMap=0.004668, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.608609, SerializeExports=0.211794, SerializeBulkData=0.004355, MoveFile=2.501749, UnaccountedTime=1.824372, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_9.uasset, AutoPackageBackupDelegate=0.117872, FlushAsyncLoading=0.003729, FlushStreamingFunc=0.068422, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.089571, TagPackageExports=0.029236, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.852782, GatherLocalizableTextData=0.151463, MarkNames=0.008084, SerializeSummary=0.012130, SerializeNames=0.047274, SerializeGatherableTextData=0.001244, BuildExportMap=0.019282, SortExportsNonSeekfree=0.005908, SortExportsSeekfreeConstructor=0.008401, SortExportsSeekfreeInner=0.569764, SortExportsSeekfree=0.003420, BuildDependencyMap=0.006843, SerializeImportMap=0.006530, SerializeExportMap=0.004664, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.623536, SerializeExports=0.219572, SerializeBulkData=0.005599, MoveFile=2.627708, UnaccountedTime=1.894969, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
SavePackageTransactionIdB9A95551475613F98004F399BB44B2E8_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/SoulOrb_Default/Soul_Orb_Pulse_Sprite_10.uasset, AutoPackageBackupDelegate=0.123158, FlushAsyncLoading=0.004046, FlushStreamingFunc=0.067174, BlockTillAllRequestsFinished=0.004046, ResetLoadersForSaveUnMarkAllObjects=0.089258, TagPackageExports=0.029236, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.864290, GatherLocalizableTextData=0.142440, MarkNames=0.007156, SerializeSummary=0.011507, SerializeNames=0.047270, SerializeGatherableTextData=0.001557, BuildExportMap=0.019591, SortExportsNonSeekfree=0.005912, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.587184, SortExportsSeekfree=0.003107, BuildDependencyMap=0.007156, SerializeImportMap=0.006530, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.873276, SerializeExports=0.229836, SerializeBulkData=0.004977, MoveFile=2.484642, UnaccountedTime=1.687530, RunGuid=RunIDE681C3444F53B012A8188CA051DE4A85
