CookerStat, GenerateAssetRegistry=0.029545, Initialize=0.138085, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_BP.uasset, AutoPackageBackupDelegate=38.257397, FlushAsyncLoading=0.009954, FlushStreamingFunc=0.095479, BlockTillAllRequestsFinished=0.006530, ResetLoadersForSaveUnMarkAllObjects=0.420794, TagPackageExports=1.059294, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.471581, GatherLocalizableTextData=14.341511, MarkNames=0.041362, SerializeSummary=0.017107, SerializeNames=0.113208, SerializeGatherableTextData=0.165142, BuildExportMap=0.087705, SortExportsNonSeekfree=0.547685, SortExportsSeekfreeConstructor=0.073086, SortExportsSeekfreeInner=3.421091, SortExportsSeekfree=0.003729, BuildDependencyMap=0.058781, SerializeImportMap=0.011194, SerializeExportMap=0.034522, SerializeDependencyMap=0.008397, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.651874, SerializeExports=3.083020, SerializeBulkData=0.013065, MoveFile=3.266517, UnaccountedTime=0.200599, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=0.108231, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.116628, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.099208, TagPackageExports=1.238432, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.522271, GatherLocalizableTextData=6.961294, MarkNames=0.038251, SerializeSummary=0.015553, SerializeNames=0.105120, SerializeGatherableTextData=0.115070, BuildExportMap=0.086151, SortExportsNonSeekfree=0.600558, SortExportsSeekfreeConstructor=0.058156, SortExportsSeekfreeInner=3.389675, SortExportsSeekfree=0.005290, BuildDependencyMap=0.057537, SerializeImportMap=0.008397, SerializeExportMap=0.035767, SerializeDependencyMap=0.006843, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.773475, SerializeExports=3.193118, SerializeBulkData=0.004668, MoveFile=2.576388, UnaccountedTime=1.739468, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=36.843243, FlushAsyncLoading=0.008088, FlushStreamingFunc=0.070289, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=0.186607, TagPackageExports=1.179341, BeginCacheForCookedPlatformData=0.002176, SerializeImports=2.499573, GatherLocalizableTextData=33.779816, MarkNames=0.052251, SerializeSummary=0.014618, SerializeNames=0.114761, SerializeGatherableTextData=0.274930, BuildExportMap=0.091124, SortExportsNonSeekfree=0.648141, SortExportsSeekfreeConstructor=0.087395, SortExportsSeekfreeInner=3.608625, SortExportsSeekfree=0.004042, BuildDependencyMap=0.060335, SerializeImportMap=0.008710, SerializeExportMap=0.035454, SerializeDependencyMap=0.007153, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.731800, SerializeExports=3.350489, SerializeBulkData=0.005286, MoveFile=3.410514, UnaccountedTime=1.808509, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=35.248703, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.057846, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.130933, TagPackageExports=1.132380, BeginCacheForCookedPlatformData=0.002488, SerializeImports=2.476554, GatherLocalizableTextData=11.931509, MarkNames=0.051007, SerializeSummary=0.013996, SerializeNames=0.112586, SerializeGatherableTextData=0.275552, BuildExportMap=0.106052, SortExportsNonSeekfree=0.634767, SortExportsSeekfreeConstructor=0.067491, SortExportsSeekfreeInner=3.584988, SortExportsSeekfree=0.004042, BuildDependencyMap=0.064068, SerializeImportMap=0.009019, SerializeExportMap=0.036702, SerializeDependencyMap=0.008397, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.741441, SerializeExports=3.380660, SerializeBulkData=0.004351, MoveFile=2.668135, UnaccountedTime=1.343556, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=37.030781, FlushAsyncLoading=0.008397, FlushStreamingFunc=0.090502, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=0.153948, TagPackageExports=1.520205, BeginCacheForCookedPlatformData=0.002179, SerializeImports=3.103238, GatherLocalizableTextData=89.307480, MarkNames=0.068732, SerializeSummary=0.014309, SerializeNames=0.112582, SerializeGatherableTextData=0.357971, BuildExportMap=0.105742, SortExportsNonSeekfree=1.076710, SortExportsSeekfreeConstructor=0.011507, SortExportsSeekfreeInner=4.412271, SortExportsSeekfree=0.004664, BuildDependencyMap=0.086773, SerializeImportMap=0.008397, SerializeExportMap=0.050072, SerializeDependencyMap=0.009641, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.028813, SerializeExports=4.058342, SerializeBulkData=0.004355, MoveFile=2.894864, UnaccountedTime=1.541045, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=35.956562, FlushAsyncLoading=0.006218, FlushStreamingFunc=0.095792, BlockTillAllRequestsFinished=0.004664, ResetLoadersForSaveUnMarkAllObjects=0.125028, TagPackageExports=1.235634, BeginCacheForCookedPlatformData=0.002488, SerializeImports=2.685863, GatherLocalizableTextData=24.862286, MarkNames=0.059403, SerializeSummary=0.019591, SerializeNames=0.108853, SerializeGatherableTextData=0.179764, BuildExportMap=0.098590, SortExportsNonSeekfree=0.741132, SortExportsSeekfreeConstructor=0.063445, SortExportsSeekfreeInner=3.784034, SortExportsSeekfree=0.005286, BuildDependencyMap=0.069976, SerializeImportMap=0.008397, SerializeExportMap=0.039499, SerializeDependencyMap=0.013996, SerializeStringAssetReferenceMap=0.002488, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.813596, SerializeExports=3.600229, SerializeBulkData=0.004355, MoveFile=2.455406, UnaccountedTime=1.389585, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=37.009319, FlushAsyncLoading=0.007775, FlushStreamingFunc=0.056606, BlockTillAllRequestsFinished=0.006840, ResetLoadersForSaveUnMarkAllObjects=0.134666, TagPackageExports=1.465470, BeginCacheForCookedPlatformData=0.002488, SerializeImports=2.818976, GatherLocalizableTextData=20.114750, MarkNames=0.058468, SerializeSummary=0.013065, SerializeNames=0.111338, SerializeGatherableTextData=0.208065, BuildExportMap=0.101078, SortExportsNonSeekfree=0.881396, SortExportsSeekfreeConstructor=0.062823, SortExportsSeekfreeInner=4.021022, SortExportsSeekfree=0.005286, BuildDependencyMap=0.072464, SerializeImportMap=0.008397, SerializeExportMap=0.042297, SerializeDependencyMap=0.013996, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.869889, SerializeExports=3.946688, SerializeBulkData=0.004355, MoveFile=2.876513, UnaccountedTime=1.490973, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=35.107819, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.094235, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.132799, TagPackageExports=1.316804, BeginCacheForCookedPlatformData=0.003111, SerializeImports=2.851944, GatherLocalizableTextData=20.525589, MarkNames=0.062201, SerializeSummary=0.013996, SerializeNames=0.110719, SerializeGatherableTextData=0.187226, BuildExportMap=0.097658, SortExportsNonSeekfree=0.845630, SortExportsSeekfreeConstructor=0.063758, SortExportsSeekfreeInner=3.859606, SortExportsSeekfree=0.003733, BuildDependencyMap=0.077441, SerializeImportMap=0.008710, SerializeExportMap=0.043228, SerializeDependencyMap=0.013061, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.861801, SerializeExports=4.055235, SerializeBulkData=0.005595, MoveFile=2.845101, UnaccountedTime=1.649898, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=35.717087, FlushAsyncLoading=0.005908, FlushStreamingFunc=0.110097, BlockTillAllRequestsFinished=0.004977, ResetLoadersForSaveUnMarkAllObjects=0.126578, TagPackageExports=1.221020, BeginCacheForCookedPlatformData=0.002488, SerializeImports=2.657872, GatherLocalizableTextData=20.033575, MarkNames=0.059094, SerializeSummary=0.014305, SerializeNames=0.109475, SerializeGatherableTextData=0.191581, BuildExportMap=0.095479, SortExportsNonSeekfree=0.887617, SortExportsSeekfreeConstructor=0.075262, SortExportsSeekfreeInner=3.872674, SortExportsSeekfree=0.004664, BuildDependencyMap=0.073709, SerializeImportMap=0.008706, SerializeExportMap=0.041988, SerializeDependencyMap=0.013061, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.861492, SerializeExports=3.840323, SerializeBulkData=0.004046, MoveFile=3.124695, UnaccountedTime=1.541358, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Blueprints/Widgets/InventoryWidget_Weapon_BP.uasset, AutoPackageBackupDelegate=37.787155, FlushAsyncLoading=0.008088, FlushStreamingFunc=0.100765, BlockTillAllRequestsFinished=0.005286, ResetLoadersForSaveUnMarkAllObjects=0.130001, TagPackageExports=1.366258, BeginCacheForCookedPlatformData=0.002179, SerializeImports=2.673421, GatherLocalizableTextData=20.247240, MarkNames=0.056606, SerializeSummary=0.013992, SerializeNames=0.107609, SerializeGatherableTextData=0.195935, BuildExportMap=0.093926, SortExportsNonSeekfree=0.854962, SortExportsSeekfreeConstructor=0.013683, SortExportsSeekfreeInner=3.926165, SortExportsSeekfree=0.004355, BuildDependencyMap=0.072774, SerializeImportMap=0.008706, SerializeExportMap=0.042297, SerializeDependencyMap=0.013065, SerializeStringAssetReferenceMap=0.002176, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.867091, SerializeExports=3.866762, SerializeBulkData=0.004355, MoveFile=2.686799, UnaccountedTime=0.183497, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
SavePackageTransactionId104C3D20496ACD62FB0F6F9E8868822F_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Levels/OverworldLevel.umap, AutoPackageBackupDelegate=38.008282, FlushAsyncLoading=0.009019, FlushStreamingFunc=0.115383, BlockTillAllRequestsFinished=0.006221, ResetLoadersForSaveUnMarkAllObjects=88.263741, TagPackageExports=9.765338, BeginCacheForCookedPlatformData=0.006221, SerializeImports=11.852514, GatherLocalizableTextData=14.032055, MarkNames=0.950750, SerializeSummary=0.023637, SerializeNames=0.566658, SerializeGatherableTextData=0.197489, BuildExportMap=0.514407, SortExportsNonSeekfree=1.973968, SortExportsSeekfreeConstructor=0.102632, SortExportsSeekfreeInner=27.569302, SortExportsSeekfree=0.006840, BuildDependencyMap=0.191271, SerializeImportMap=0.053495, SerializeExportMap=0.066865, SerializeDependencyMap=0.016484, SerializeStringAssetReferenceMap=0.002179, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.019994, SerializeExports=15.332691, SerializeBulkData=2.638280, MoveFile=3.106658, UnaccountedTime=0.210866, RunGuid=RunIDF213431D4F10CCD802DEB29832A18F61
