CookerStat, GenerateAssetRegistry=0.024259, Initialize=0.134356, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
DDCTransactionIdFA58E4E34EFCD204680AE38C80A66D2F_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A6E0C4CE43857C8F64464F95662AFAE3_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.08.21-21.03.08, Duration=85.838188, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
DDCTransactionId22C0A08B41818E484402D1B96DEA2793_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_A6E0C4CE43857C8F64464F95662AF__AC8E7D228A681A1AA387CFCC87A390949B5FF2D5, StartTime=2016.08.21-21.03.08, HierarchicalDDC=, DataSize=360310, Duration=6.245043, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
DDCTransactionIdFA58E4E34EFCD204680AE38C80A66D2F_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8AD4E8C24C42C937182C0586F50971DB_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.08.21-21.03.09, Duration=25.036140, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
DDCTransactionId444E4B004C2EA626CC8115A8A5DC1489_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8AD4E8C24C42C937182C0586F5097__DF42677F599A8FAB5980DB756AD13E89CA95C784, StartTime=2016.08.21-21.03.09, HierarchicalDDC=, DataSize=360310, Duration=5.504530, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
DDCTransactionIdFA58E4E34EFCD204680AE38C80A66D2F_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5173BFB140820FF41481488E915FFA13_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000D000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.08.21-21.03.09, Duration=22.832647, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
DDCTransactionIdBE41CD0C4667E496E03CB9A5F0318AAF_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5173BFB140820FF41481488E915FF__0ABD502632CFE741CF0CC154AE02EF8A8597ADA7, StartTime=2016.08.21-21.03.09, HierarchicalDDC=, DataSize=360310, Duration=6.995812, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_0, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Textures/sluagh_idle_0.uasset, AutoPackageBackupDelegate=0.146482, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.029236, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.111964, TagPackageExports=0.090815, BeginCacheForCookedPlatformData=0.003420, SerializeImports=1.247454, GatherLocalizableTextData=0.093613, MarkNames=0.007775, SerializeSummary=0.015862, SerializeNames=0.046030, SerializeGatherableTextData=0.004042, BuildExportMap=0.014927, SortExportsNonSeekfree=0.007465, SortExportsSeekfreeConstructor=0.072155, SortExportsSeekfreeInner=0.164211, SortExportsSeekfree=0.003420, BuildDependencyMap=0.009023, SerializeImportMap=0.009332, SerializeExportMap=0.005286, SerializeDependencyMap=0.001553, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.693016, SerializeExports=0.128135, SerializeBulkData=0.053182, MoveFile=2.488684, UnaccountedTime=1.527984, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_1, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Textures/sluagh_idle_1.uasset, AutoPackageBackupDelegate=0.117563, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.065312, BlockTillAllRequestsFinished=0.004042, ResetLoadersForSaveUnMarkAllObjects=0.129379, TagPackageExports=0.061270, BeginCacheForCookedPlatformData=0.001866, SerializeImports=0.979364, GatherLocalizableTextData=0.057533, MarkNames=0.003733, SerializeSummary=0.011507, SerializeNames=0.023328, SerializeGatherableTextData=0.001553, BuildExportMap=0.009641, SortExportsNonSeekfree=0.004355, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.208683, SortExportsSeekfree=0.003424, BuildDependencyMap=0.005595, SerializeImportMap=0.007465, SerializeExportMap=0.005286, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001863, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.990965, SerializeExports=0.134978, SerializeBulkData=0.046339, MoveFile=3.254078, UnaccountedTime=1.619726, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_2, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Textures/sluagh_idle_2.uasset, AutoPackageBackupDelegate=0.108853, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.029545, BlockTillAllRequestsFinished=0.003424, ResetLoadersForSaveUnMarkAllObjects=0.092991, TagPackageExports=0.063132, BeginCacheForCookedPlatformData=0.001557, SerializeImports=1.040008, GatherLocalizableTextData=0.058472, MarkNames=0.004351, SerializeSummary=0.013065, SerializeNames=0.025813, SerializeGatherableTextData=0.001866, BuildExportMap=0.010885, SortExportsNonSeekfree=0.004977, SortExportsSeekfreeConstructor=0.008397, SortExportsSeekfreeInner=0.150528, SortExportsSeekfree=0.003111, BuildDependencyMap=0.005595, SerializeImportMap=0.006530, SerializeExportMap=0.004664, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=2.672490, SerializeExports=0.110410, SerializeBulkData=0.044163, MoveFile=2.479669, UnaccountedTime=1.593292, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_3, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/sluagh_idle_0_Sprite.uasset, AutoPackageBackupDelegate=0.116941, FlushAsyncLoading=0.004351, FlushStreamingFunc=0.032969, BlockTillAllRequestsFinished=0.004355, ResetLoadersForSaveUnMarkAllObjects=0.119116, TagPackageExports=0.030167, BeginCacheForCookedPlatformData=0.001557, SerializeImports=0.887617, GatherLocalizableTextData=0.150215, MarkNames=0.007775, SerializeSummary=0.011820, SerializeNames=0.045408, SerializeGatherableTextData=0.001553, BuildExportMap=0.020839, SortExportsNonSeekfree=0.005595, SortExportsSeekfreeConstructor=0.008088, SortExportsSeekfreeInner=0.650629, SortExportsSeekfree=0.004973, BuildDependencyMap=0.008088, SerializeImportMap=0.006534, SerializeExportMap=0.004973, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.204938, SerializeExports=0.217706, SerializeBulkData=0.004973, MoveFile=2.329763, UnaccountedTime=1.468889, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_4, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/sluagh_idle_1_Sprite.uasset, AutoPackageBackupDelegate=0.119425, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.028301, BlockTillAllRequestsFinished=0.003111, ResetLoadersForSaveUnMarkAllObjects=0.091124, TagPackageExports=0.029545, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.916854, GatherLocalizableTextData=0.183802, MarkNames=0.008710, SerializeSummary=0.014305, SerializeNames=0.046652, SerializeGatherableTextData=0.001557, BuildExportMap=0.021148, SortExportsNonSeekfree=0.006218, SortExportsSeekfreeConstructor=0.009332, SortExportsSeekfreeInner=0.593714, SortExportsSeekfree=0.004977, BuildDependencyMap=0.007775, SerializeImportMap=0.006534, SerializeExportMap=0.005595, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.477380, SerializeExports=0.240721, SerializeBulkData=0.005595, MoveFile=2.504550, UnaccountedTime=1.554105, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_5, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Content/Assets/Sprites/sluagh_idle_2_Sprite.uasset, AutoPackageBackupDelegate=0.116318, FlushAsyncLoading=0.004042, FlushStreamingFunc=0.028614, BlockTillAllRequestsFinished=0.003107, ResetLoadersForSaveUnMarkAllObjects=0.091128, TagPackageExports=0.028301, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.765391, GatherLocalizableTextData=0.141818, MarkNames=0.027992, SerializeSummary=0.011194, SerializeNames=0.045408, SerializeGatherableTextData=0.001244, BuildExportMap=0.020217, SortExportsNonSeekfree=0.005595, SortExportsSeekfreeConstructor=0.007778, SortExportsSeekfreeInner=0.572562, SortExportsSeekfree=0.002801, BuildDependencyMap=0.006840, SerializeImportMap=0.006221, SerializeExportMap=0.004977, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.119100, SerializeExports=0.258759, SerializeBulkData=0.004973, MoveFile=2.304878, UnaccountedTime=1.553487, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_6, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Assets/Textures/sluagh_idle_2_Sprite_Auto1.uasset, AutoPackageBackupDelegate=0.139333, FlushAsyncLoading=0.003729, FlushStreamingFunc=0.107609, BlockTillAllRequestsFinished=0.005290, ResetLoadersForSaveUnMarkAllObjects=0.187848, TagPackageExports=0.008706, BeginCacheForCookedPlatformData=0.000935, SerializeImports=0.730868, GatherLocalizableTextData=0.011817, MarkNames=0.004668, SerializeSummary=0.017416, SerializeNames=0.014618, SerializeGatherableTextData=0.001553, BuildExportMap=0.011507, SortExportsNonSeekfree=0.003733, SortExportsSeekfreeConstructor=0.068422, SortExportsSeekfreeInner=0.011194, SortExportsSeekfree=0.001866, BuildDependencyMap=0.004977, SerializeImportMap=0.088636, SerializeExportMap=0.046343, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.016171, SerializeExports=0.005290, SerializeBulkData=0.003420, MoveFile=2.145641, UnaccountedTime=0.136536, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_7, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Assets/Textures/sluagh_idle_0_Sprite_Auto1.uasset, AutoPackageBackupDelegate=0.135597, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.060957, BlockTillAllRequestsFinished=0.005599, ResetLoadersForSaveUnMarkAllObjects=0.120673, TagPackageExports=0.008088, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.604287, GatherLocalizableTextData=0.018038, MarkNames=0.006843, SerializeSummary=0.011198, SerializeNames=0.010263, SerializeGatherableTextData=0.001553, BuildExportMap=0.009019, SortExportsNonSeekfree=0.003111, SortExportsSeekfreeConstructor=0.009641, SortExportsSeekfreeInner=0.016171, SortExportsSeekfree=0.002179, BuildDependencyMap=0.004351, SerializeImportMap=0.069976, SerializeExportMap=0.024881, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001866, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.014618, SerializeExports=0.005286, SerializeBulkData=0.002801, MoveFile=2.204113, UnaccountedTime=0.224236, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_8, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Assets/Textures/sluagh_idle_1_Sprite_Auto1.uasset, AutoPackageBackupDelegate=0.111651, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.041362, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=0.111341, TagPackageExports=0.008084, BeginCacheForCookedPlatformData=0.001244, SerializeImports=0.628550, GatherLocalizableTextData=0.012130, MarkNames=0.004351, SerializeSummary=0.009954, SerializeNames=0.009641, SerializeGatherableTextData=0.001244, BuildExportMap=0.008397, SortExportsNonSeekfree=0.002798, SortExportsSeekfreeConstructor=0.009641, SortExportsSeekfreeInner=0.015862, SortExportsSeekfree=0.002179, BuildDependencyMap=0.004351, SerializeImportMap=0.071224, SerializeExportMap=0.025190, SerializeDependencyMap=0.001244, SerializeStringAssetReferenceMap=0.001557, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.014927, SerializeExports=0.004977, SerializeBulkData=0.003107, MoveFile=1.611333, UnaccountedTime=0.132490, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_9, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Assets/Sprites/sluagh_idle_3_Sprite_Auto1.uasset, AutoPackageBackupDelegate=0.136532, FlushAsyncLoading=0.003733, FlushStreamingFunc=0.037942, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=0.113208, TagPackageExports=0.025503, BeginCacheForCookedPlatformData=0.001553, SerializeImports=0.951994, GatherLocalizableTextData=0.142753, MarkNames=0.006843, SerializeSummary=0.010885, SerializeNames=0.046652, SerializeGatherableTextData=0.001553, BuildExportMap=0.017107, SortExportsNonSeekfree=0.004355, SortExportsSeekfreeConstructor=0.007775, SortExportsSeekfreeInner=0.610195, SortExportsSeekfree=0.003424, BuildDependencyMap=0.006530, SerializeImportMap=0.006843, SerializeExportMap=0.005286, SerializeDependencyMap=0.000935, SerializeStringAssetReferenceMap=0.001553, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.577836, SerializeExports=0.234809, SerializeBulkData=0.004977, MoveFile=2.424929, UnaccountedTime=0.146486, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
SavePackageTransactionId4F86F77E4402FE8846AB36978305BE22_10, Filename=../../../../../../Users/Fahad/Desktop/MX2 Game Suite/GitHub Directory/project-1-mx2/ProjectOne/Saved/Autosaves/Game/Assets/Sprites/sluagh_idle_Auto1.uasset, AutoPackageBackupDelegate=0.114761, FlushAsyncLoading=0.004046, FlushStreamingFunc=0.055358, BlockTillAllRequestsFinished=0.003733, ResetLoadersForSaveUnMarkAllObjects=0.112586, TagPackageExports=0.013065, BeginCacheForCookedPlatformData=0.001241, SerializeImports=0.641611, GatherLocalizableTextData=0.026748, MarkNames=0.006843, SerializeSummary=0.011507, SerializeNames=0.023637, SerializeGatherableTextData=0.001241, BuildExportMap=0.022393, SortExportsNonSeekfree=0.002801, SortExportsSeekfreeConstructor=0.008706, SortExportsSeekfreeInner=0.265602, SortExportsSeekfree=0.002488, BuildDependencyMap=0.006221, SerializeImportMap=0.006530, SerializeExportMap=0.004668, SerializeDependencyMap=0.000931, SerializeStringAssetReferenceMap=0.001244, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.154553, SerializeExports=0.083663, SerializeBulkData=0.004664, MoveFile=2.312966, UnaccountedTime=0.181939, RunGuid=RunID805236AE4BE1036D2EFE69B57410A36D
